#Coverage	Number of genomic locations
0.0	2.653355155E9
1.0	5.891245E7
2.0	7936298.0
3.0	2578120.0
4.0	1120839.0
5.0	574517.0
6.0	325919.0
7.0	200618.0
8.0	130922.0
9.0	88897.0
10.0	63081.0
11.0	46632.0
12.0	34068.0
13.0	26312.0
14.0	20854.0
15.0	16741.0
16.0	13620.0
17.0	11051.0
18.0	9431.0
19.0	7576.0
20.0	6335.0
21.0	5223.0
22.0	4134.0
23.0	3750.0
24.0	3147.0
25.0	2849.0
26.0	2513.0
27.0	2311.0
28.0	2065.0
29.0	1869.0
30.0	1867.0
31.0	1740.0
32.0	1661.0
33.0	1523.0
34.0	1389.0
35.0	1264.0
36.0	1254.0
37.0	1200.0
38.0	1156.0
39.0	1148.0
40.0	1224.0
41.0	1060.0
42.0	1038.0
43.0	886.0
44.0	888.0
45.0	815.0
46.0	802.0
47.0	763.0
48.0	789.0
49.0	747.0
50.0	653.0
51.0	567.0
52.0	523.0
53.0	493.0
54.0	529.0
55.0	508.0
56.0	492.0
57.0	459.0
58.0	350.0
59.0	310.0
60.0	281.0
61.0	284.0
62.0	205.0
63.0	203.0
64.0	237.0
65.0	190.0
66.0	195.0
67.0	139.0
68.0	124.0
69.0	78.0
70.0	91.0
71.0	52.0
72.0	68.0
73.0	41.0
74.0	33.0
75.0	22.0
76.0	7.0
77.0	12.0
78.0	12.0
