#Mapping quality	mapping quality
0.0	219337.0
1.0	7908622.0
2.0	53876.0
3.0	58386.0
4.0	29991.0
5.0	20109.0
6.0	192670.0
7.0	98339.0
8.0	80962.0
9.0	31862.0
10.0	35244.0
11.0	86341.0
12.0	198243.0
13.0	20111.0
14.0	47302.0
15.0	122660.0
16.0	85105.0
17.0	150001.0
18.0	148089.0
19.0	33038.0
20.0	53404.0
21.0	246566.0
22.0	77000.0
23.0	313745.0
24.0	497261.0
25.0	117528.0
26.0	102711.0
27.0	101267.0
28.0	147658.0
29.0	119055.0
30.0	893741.0
31.0	751138.0
32.0	909097.0
33.0	513441.0
34.0	791607.0
35.0	631839.0
36.0	704764.0
37.0	686501.0
38.0	885019.0
39.0	807725.0
40.0	2097921.0
41.0	4989691.0
42.0	1.13354478E8
