#Insert size (bp)	insert size
34.0	1.0
35.0	2.0
37.0	1.0
39.0	1.0
40.0	8.0
41.0	67.0
42.0	75.0
43.0	88.0
44.0	64.0
45.0	58.0
46.0	73.0
47.0	72.0
48.0	75.0
49.0	69.0
50.0	55.0
51.0	49.0
52.0	68.0
53.0	62.0
54.0	66.0
55.0	85.0
56.0	71.0
57.0	65.0
58.0	69.0
59.0	58.0
60.0	58.0
61.0	55.0
62.0	49.0
63.0	68.0
64.0	58.0
65.0	66.0
66.0	64.0
67.0	62.0
68.0	56.0
69.0	51.0
70.0	61.0
71.0	85.0
72.0	63.0
73.0	58.0
74.0	70.0
75.0	61.0
76.0	73.0
77.0	78.0
78.0	69.0
79.0	70.0
80.0	76.0
81.0	80.0
82.0	99.0
83.0	116.0
84.0	118.0
85.0	134.0
86.0	110.0
87.0	134.0
88.0	168.0
89.0	190.0
90.0	210.0
91.0	234.0
92.0	242.0
93.0	281.0
94.0	307.0
95.0	345.0
96.0	409.0
97.0	423.0
98.0	483.0
99.0	536.0
100.0	669.0
101.0	723.0
102.0	722.0
103.0	843.0
104.0	915.0
105.0	1083.0
106.0	1189.0
107.0	1286.0
108.0	1341.0
109.0	1502.0
110.0	1656.0
111.0	1835.0
112.0	2004.0
113.0	2116.0
114.0	2325.0
115.0	2441.0
116.0	2672.0
117.0	2937.0
118.0	3109.0
119.0	3405.0
120.0	3596.0
121.0	3831.0
122.0	4133.0
123.0	4223.0
124.0	4511.0
125.0	4831.0
126.0	5117.0
127.0	5216.0
128.0	5633.0
129.0	5788.0
130.0	6173.0
131.0	6455.0
132.0	6807.0
133.0	6927.0
134.0	7138.0
135.0	7442.0
136.0	7943.0
137.0	8133.0
138.0	8519.0
139.0	8753.0
140.0	8905.0
141.0	9326.0
142.0	9564.0
143.0	9836.0
144.0	10008.0
145.0	10501.0
146.0	10569.0
147.0	11013.0
148.0	10959.0
149.0	11520.0
150.0	11446.0
151.0	11830.0
152.0	12024.0
153.0	12245.0
154.0	12694.0
155.0	12852.0
156.0	13168.0
157.0	13100.0
158.0	13575.0
159.0	13479.0
160.0	13759.0
161.0	13803.0
162.0	14192.0
163.0	14387.0
164.0	14333.0
165.0	14519.0
166.0	14201.0
167.0	14680.0
168.0	14742.0
169.0	15035.0
170.0	15075.0
171.0	15106.0
172.0	15236.0
173.0	15383.0
174.0	15520.0
175.0	15459.0
176.0	15343.0
177.0	15601.0
178.0	15563.0
179.0	15888.0
180.0	15774.0
181.0	15647.0
182.0	15733.0
183.0	15671.0
184.0	15618.0
185.0	15715.0
186.0	15767.0
187.0	15726.0
188.0	15554.0
189.0	15596.0
190.0	15615.0
191.0	15653.0
192.0	15598.0
193.0	15609.0
194.0	15523.0
195.0	15611.0
196.0	15117.0
197.0	15404.0
198.0	15247.0
199.0	15185.0
200.0	15003.0
201.0	15203.0
202.0	14918.0
203.0	14968.0
204.0	14894.0
205.0	14670.0
206.0	14622.0
207.0	14303.0
208.0	14324.0
209.0	14374.0
210.0	14181.0
211.0	14108.0
212.0	14096.0
213.0	13902.0
214.0	13848.0
215.0	13880.0
216.0	13612.0
217.0	13500.0
218.0	13347.0
219.0	13122.0
220.0	13395.0
221.0	12886.0
222.0	13129.0
223.0	12784.0
224.0	12725.0
225.0	12576.0
226.0	12303.0
227.0	12417.0
228.0	12268.0
229.0	11986.0
230.0	12116.0
231.0	11833.0
232.0	11713.0
233.0	11651.0
234.0	11476.0
235.0	11389.0
236.0	11257.0
237.0	11261.0
238.0	11098.0
239.0	10873.0
240.0	10755.0
241.0	10550.0
242.0	10628.0
243.0	10395.0
244.0	10476.0
245.0	10291.0
246.0	10068.0
247.0	10074.0
248.0	9790.0
249.0	9815.0
250.0	9589.0
251.0	9613.0
252.0	9465.0
253.0	9323.0
254.0	8968.0
255.0	9204.0
256.0	8890.0
257.0	9057.0
258.0	8682.0
259.0	8773.0
260.0	8496.0
261.0	8478.0
262.0	8482.0
263.0	8293.0
264.0	8164.0
265.0	7997.0
266.0	8118.0
267.0	8007.0
268.0	7731.0
269.0	7591.0
270.0	7720.0
271.0	7367.0
272.0	7310.0
273.0	7162.0
274.0	7031.0
275.0	7033.0
276.0	6978.0
277.0	7062.0
278.0	6828.0
279.0	6884.0
280.0	6673.0
281.0	6603.0
282.0	6473.0
283.0	6410.0
284.0	6404.0
285.0	6234.0
286.0	6064.0
287.0	6120.0
288.0	6054.0
289.0	5901.0
290.0	5935.0
291.0	5681.0
292.0	5774.0
293.0	5628.0
294.0	5474.0
295.0	5398.0
296.0	5447.0
297.0	5420.0
298.0	5275.0
299.0	5184.0
300.0	5133.0
301.0	5096.0
302.0	5072.0
303.0	5000.0
304.0	4916.0
305.0	4843.0
306.0	4745.0
307.0	4636.0
308.0	4617.0
309.0	4451.0
310.0	4360.0
311.0	4299.0
312.0	4473.0
313.0	4351.0
314.0	4371.0
315.0	4139.0
316.0	4136.0
317.0	4029.0
318.0	3897.0
319.0	3912.0
320.0	3989.0
321.0	3898.0
322.0	3736.0
323.0	3728.0
324.0	3746.0
325.0	3581.0
326.0	3614.0
327.0	3639.0
328.0	3401.0
329.0	3521.0
330.0	3402.0
331.0	3401.0
332.0	3304.0
333.0	3404.0
334.0	3232.0
335.0	3130.0
336.0	3101.0
337.0	3203.0
338.0	3102.0
339.0	2953.0
340.0	2928.0
341.0	2855.0
342.0	2815.0
343.0	2832.0
344.0	2774.0
345.0	2767.0
346.0	2757.0
347.0	2617.0
348.0	2593.0
349.0	2569.0
350.0	2592.0
351.0	2590.0
352.0	2368.0
353.0	2475.0
354.0	2419.0
355.0	2412.0
356.0	2362.0
357.0	2241.0
358.0	2302.0
359.0	2249.0
360.0	2195.0
361.0	2202.0
362.0	2178.0
363.0	2101.0
364.0	2064.0
365.0	2026.0
366.0	1980.0
367.0	1880.0
368.0	1929.0
369.0	1949.0
370.0	1895.0
371.0	1899.0
372.0	1799.0
373.0	1790.0
374.0	1787.0
375.0	1726.0
376.0	1728.0
377.0	1665.0
378.0	1738.0
379.0	1669.0
380.0	1756.0
381.0	1602.0
382.0	1605.0
383.0	1582.0
384.0	1506.0
385.0	1547.0
386.0	1502.0
387.0	1493.0
388.0	1439.0
389.0	1435.0
390.0	1417.0
391.0	1395.0
392.0	1442.0
393.0	1375.0
394.0	1287.0
395.0	1269.0
396.0	1247.0
397.0	1279.0
398.0	1282.0
399.0	1223.0
400.0	1204.0
401.0	1163.0
402.0	1155.0
403.0	1159.0
404.0	1145.0
405.0	1056.0
406.0	1164.0
407.0	1082.0
408.0	1074.0
409.0	1061.0
410.0	1072.0
411.0	1042.0
412.0	964.0
413.0	967.0
414.0	1023.0
415.0	981.0
416.0	1000.0
417.0	947.0
418.0	955.0
419.0	938.0
420.0	978.0
421.0	853.0
422.0	931.0
423.0	854.0
