#Coverage (X)	Coverage
1.0	3.8265829229307826
2.0	1.4400166413550153
3.0	0.6657943203792769
4.0	0.344540275733749
5.0	0.19535187719321812
6.0	0.1195985304872238
7.0	0.07767039964545575
8.0	0.05280891973610835
9.0	0.037230232094785265
10.0	0.026991811867688398
11.0	0.02006220666912384
12.0	0.015269244110371005
13.0	0.011799103114867648
14.0	0.009265584654073677
15.0	0.007349338894783841
16.0	0.005900817362714861
17.0	0.004817508174369323
18.0	0.0040048244880637185
19.0	0.003392431557671216
20.0	0.002917406018781321
21.0	0.002554908735675099
22.0	0.0022727625709961785
23.0	0.0020405881977723084
24.0	0.0018569547056728197
25.0	0.001705058070854193
26.0	0.0015748452310049288
27.0	0.001458868114411871
28.0	0.00135213687994451
29.0	0.0012590176386026997
30.0	0.0011756579394983646
31.0	0.0010907572600302728
32.0	0.0010078745310266868
33.0	9.302751632418449E-4
34.0	8.576656366017232E-4
35.0	7.830014694860665E-4
36.0	7.145379137938335E-4
37.0	6.457441480165471E-4
38.0	5.860861943460804E-4
39.0	5.294735113636762E-4
40.0	4.7645644920635277E-4
41.0	4.3268526917472627E-4
42.0	3.974995511129009E-4
43.0	3.686245144933764E-4
44.0	3.4349185872883936E-4
45.0	3.210008835736744E-4
46.0	3.011148990168522E-4
47.0	2.8299003486154106E-4
48.0	2.682406514793456E-4
49.0	2.562063287143701E-4
50.0	2.445022160344479E-4
51.0	2.3191754314666468E-4
