#Mapping quality	mapping quality
0.0	159691.0
1.0	6638107.0
2.0	39568.0
3.0	44150.0
4.0	16714.0
5.0	9148.0
6.0	177816.0
7.0	99189.0
8.0	71144.0
9.0	18135.0
10.0	18948.0
11.0	76351.0
12.0	197269.0
13.0	10513.0
14.0	34760.0
15.0	95670.0
16.0	59456.0
17.0	157114.0
18.0	154712.0
19.0	17530.0
20.0	29066.0
21.0	213789.0
22.0	55340.0
23.0	320984.0
24.0	532259.0
25.0	83837.0
26.0	66925.0
27.0	57773.0
28.0	79000.0
29.0	65656.0
30.0	993104.0
31.0	871656.0
32.0	1040337.0
33.0	355788.0
34.0	994955.0
35.0	633428.0
36.0	509501.0
37.0	427376.0
38.0	494041.0
39.0	293450.0
40.0	1728007.0
41.0	2275775.0
42.0	1.06119296E8
