#Coverage	Number of genomic locations
0.0	2.5780618E9
1.0	1.17212795E8
2.0	1.7785928E7
3.0	5887649.0
4.0	2609423.0
5.0	1361165.0
6.0	786607.0
7.0	489419.0
8.0	323095.0
9.0	221827.0
10.0	158223.0
11.0	115914.0
12.0	86231.0
13.0	65632.0
14.0	51470.0
15.0	40597.0
16.0	33148.0
17.0	27337.0
18.0	23067.0
19.0	19140.0
20.0	15544.0
21.0	13302.0
22.0	11211.0
23.0	10035.0
24.0	8584.0
25.0	7893.0
26.0	7076.0
27.0	6032.0
28.0	5434.0
29.0	4722.0
30.0	4308.0
31.0	4063.0
32.0	3624.0
33.0	3503.0
34.0	2999.0
35.0	2891.0
36.0	2737.0
37.0	2619.0
38.0	2477.0
39.0	2383.0
40.0	2490.0
41.0	2261.0
42.0	2311.0
43.0	2213.0
44.0	2191.0
45.0	2108.0
46.0	2084.0
47.0	1823.0
48.0	1848.0
49.0	1754.0
50.0	1696.0
51.0	1573.0
52.0	1511.0
53.0	1387.0
54.0	1335.0
55.0	1199.0
56.0	1249.0
57.0	1156.0
58.0	1112.0
59.0	1069.0
60.0	1058.0
61.0	999.0
62.0	1004.0
63.0	875.0
64.0	908.0
65.0	835.0
66.0	829.0
67.0	842.0
68.0	921.0
69.0	878.0
70.0	888.0
71.0	891.0
72.0	804.0
73.0	716.0
74.0	670.0
75.0	750.0
76.0	708.0
77.0	666.0
78.0	814.0
79.0	1366.0
80.0	2713.0
81.0	1021.0
82.0	216.0
83.0	22.0
84.0	1.0
