#Mapping quality	mapping quality
0.0	1162279.0
1.0	4.0313418E7
2.0	313110.0
3.0	308103.0
4.0	169685.0
5.0	107026.0
6.0	942665.0
7.0	443711.0
8.0	319926.0
9.0	166253.0
10.0	188083.0
11.0	386786.0
12.0	811352.0
13.0	103737.0
14.0	226285.0
15.0	659636.0
16.0	519563.0
17.0	635038.0
18.0	578980.0
19.0	171963.0
20.0	257955.0
21.0	1098839.0
22.0	365005.0
23.0	1002456.0
24.0	1508592.0
25.0	516377.0
26.0	483911.0
27.0	486626.0
28.0	733057.0
29.0	586971.0
30.0	3827484.0
31.0	3327210.0
32.0	3671617.0
33.0	1913751.0
34.0	3606037.0
35.0	2856214.0
36.0	2971187.0
37.0	3096953.0
38.0	4082204.0
39.0	4527310.0
40.0	8593941.0
41.0	2.6990226E7
42.0	3.40474441E8
