#Insert size (bp)	insert size
31.0	1.0
34.0	1.0
35.0	1.0
36.0	4.0
37.0	4.0
38.0	7.0
39.0	19.0
40.0	68.0
41.0	245.0
42.0	278.0
43.0	269.0
44.0	304.0
45.0	288.0
46.0	280.0
47.0	238.0
48.0	276.0
49.0	291.0
50.0	254.0
51.0	297.0
52.0	277.0
53.0	295.0
54.0	311.0
55.0	257.0
56.0	242.0
57.0	300.0
58.0	240.0
59.0	299.0
60.0	262.0
61.0	272.0
62.0	290.0
63.0	266.0
64.0	284.0
65.0	265.0
66.0	280.0
67.0	282.0
68.0	295.0
69.0	302.0
70.0	285.0
71.0	319.0
72.0	312.0
73.0	290.0
74.0	328.0
75.0	327.0
76.0	391.0
77.0	392.0
78.0	388.0
79.0	411.0
80.0	436.0
81.0	462.0
82.0	473.0
83.0	561.0
84.0	662.0
85.0	662.0
86.0	774.0
87.0	884.0
88.0	945.0
89.0	1093.0
90.0	1244.0
91.0	1427.0
92.0	1439.0
93.0	1742.0
94.0	1898.0
95.0	2209.0
96.0	2415.0
97.0	2677.0
98.0	3023.0
99.0	3357.0
100.0	3693.0
101.0	4062.0
102.0	4581.0
103.0	5027.0
104.0	5655.0
105.0	6164.0
106.0	6885.0
107.0	7574.0
108.0	8246.0
109.0	9112.0
110.0	9581.0
111.0	10462.0
112.0	11170.0
113.0	11969.0
114.0	12743.0
115.0	13982.0
116.0	14825.0
117.0	15914.0
118.0	17054.0
119.0	18091.0
120.0	18990.0
121.0	19974.0
122.0	21030.0
123.0	22309.0
124.0	23200.0
125.0	24643.0
126.0	25886.0
127.0	26955.0
128.0	28155.0
129.0	29906.0
130.0	30705.0
131.0	31825.0
132.0	32900.0
133.0	33814.0
134.0	34995.0
135.0	36384.0
136.0	37471.0
137.0	38624.0
138.0	40030.0
139.0	41172.0
140.0	42192.0
141.0	43308.0
142.0	44334.0
143.0	45262.0
144.0	46090.0
145.0	46804.0
146.0	47753.0
147.0	49250.0
148.0	50443.0
149.0	51175.0
150.0	51538.0
151.0	52381.0
152.0	53363.0
153.0	54050.0
154.0	54830.0
155.0	55548.0
156.0	56027.0
157.0	57277.0
158.0	58043.0
159.0	58349.0
160.0	58959.0
161.0	59505.0
162.0	60205.0
163.0	60800.0
164.0	60998.0
165.0	60567.0
166.0	61902.0
167.0	61642.0
168.0	61820.0
169.0	62705.0
170.0	62725.0
171.0	63369.0
172.0	63414.0
173.0	63781.0
174.0	63748.0
175.0	63766.0
176.0	63596.0
177.0	63439.0
178.0	64176.0
179.0	63811.0
180.0	63903.0
181.0	64200.0
182.0	63587.0
183.0	64055.0
184.0	63322.0
185.0	63954.0
186.0	63216.0
187.0	63074.0
188.0	62909.0
189.0	62990.0
190.0	62376.0
191.0	62327.0
192.0	62496.0
193.0	62030.0
194.0	62072.0
195.0	61318.0
196.0	60903.0
197.0	60757.0
198.0	60174.0
199.0	59731.0
200.0	59725.0
201.0	59371.0
202.0	59432.0
203.0	58402.0
204.0	58574.0
205.0	58094.0
206.0	57259.0
207.0	57076.0
208.0	56626.0
209.0	56089.0
210.0	55994.0
211.0	55271.0
212.0	55124.0
213.0	54501.0
214.0	54056.0
215.0	54063.0
216.0	53054.0
217.0	52665.0
218.0	51758.0
219.0	51589.0
220.0	51205.0
221.0	50715.0
222.0	50249.0
223.0	49704.0
224.0	49562.0
225.0	48739.0
226.0	48682.0
227.0	48031.0
228.0	47686.0
229.0	46925.0
230.0	46347.0
231.0	45547.0
232.0	45232.0
233.0	45075.0
234.0	44906.0
235.0	44295.0
236.0	44091.0
237.0	43135.0
238.0	42942.0
239.0	42123.0
240.0	42067.0
241.0	41381.0
242.0	40899.0
243.0	40528.0
244.0	40661.0
245.0	39739.0
246.0	39393.0
247.0	38674.0
248.0	38574.0
249.0	37869.0
250.0	37389.0
251.0	36965.0
252.0	36103.0
253.0	36287.0
254.0	35680.0
255.0	35507.0
256.0	34820.0
257.0	34763.0
258.0	34341.0
259.0	33683.0
260.0	33310.0
261.0	33244.0
262.0	32552.0
263.0	32229.0
264.0	31962.0
265.0	31537.0
266.0	31154.0
267.0	30443.0
268.0	30420.0
269.0	30098.0
270.0	29486.0
271.0	29002.0
272.0	28917.0
273.0	28304.0
274.0	28138.0
275.0	27613.0
276.0	27563.0
277.0	26894.0
278.0	27109.0
279.0	26608.0
280.0	26437.0
281.0	25809.0
282.0	25335.0
283.0	25125.0
284.0	24983.0
285.0	24372.0
286.0	24269.0
287.0	23971.0
288.0	23868.0
289.0	23277.0
290.0	23103.0
