#Insert size (bp)	insert size
37.0	4.0
38.0	4.0
39.0	11.0
40.0	30.0
41.0	207.0
42.0	239.0
43.0	223.0
44.0	189.0
45.0	230.0
46.0	204.0
47.0	179.0
48.0	181.0
49.0	201.0
50.0	202.0
51.0	191.0
52.0	194.0
53.0	173.0
54.0	206.0
55.0	213.0
56.0	241.0
57.0	202.0
58.0	200.0
59.0	250.0
60.0	188.0
61.0	223.0
62.0	230.0
63.0	203.0
64.0	212.0
65.0	219.0
66.0	207.0
67.0	208.0
68.0	208.0
69.0	206.0
70.0	229.0
71.0	235.0
72.0	235.0
73.0	249.0
74.0	265.0
75.0	246.0
76.0	265.0
77.0	250.0
78.0	238.0
79.0	255.0
80.0	258.0
81.0	289.0
82.0	300.0
83.0	346.0
84.0	346.0
85.0	396.0
86.0	429.0
87.0	471.0
88.0	511.0
89.0	569.0
90.0	641.0
91.0	655.0
92.0	729.0
93.0	818.0
94.0	972.0
95.0	1063.0
96.0	1145.0
97.0	1340.0
98.0	1475.0
99.0	1696.0
100.0	1872.0
101.0	2116.0
102.0	2295.0
103.0	2649.0
104.0	2948.0
105.0	3150.0
106.0	3538.0
107.0	3902.0
108.0	4102.0
109.0	4827.0
110.0	5028.0
111.0	5369.0
112.0	5898.0
113.0	6470.0
114.0	6905.0
115.0	7758.0
116.0	8433.0
117.0	9065.0
118.0	9872.0
119.0	10308.0
120.0	10713.0
121.0	11444.0
122.0	12698.0
123.0	12951.0
124.0	13853.0
125.0	14893.0
126.0	15247.0
127.0	16499.0
128.0	17482.0
129.0	18407.0
130.0	18871.0
131.0	20418.0
132.0	21072.0
133.0	21557.0
134.0	23005.0
135.0	23953.0
136.0	24972.0
137.0	25814.0
138.0	27240.0
139.0	28539.0
140.0	29507.0
141.0	30379.0
142.0	30908.0
143.0	31625.0
144.0	33330.0
145.0	34374.0
146.0	35233.0
147.0	36220.0
148.0	36391.0
149.0	37326.0
150.0	39214.0
151.0	40230.0
152.0	40735.0
153.0	41793.0
154.0	42417.0
155.0	42758.0
156.0	44179.0
157.0	44701.0
158.0	46095.0
159.0	46600.0
160.0	47034.0
161.0	48141.0
162.0	48547.0
163.0	49035.0
164.0	48933.0
165.0	48824.0
166.0	49715.0
167.0	50213.0
168.0	51249.0
169.0	51955.0
170.0	51805.0
171.0	52847.0
172.0	52697.0
173.0	53349.0
174.0	53671.0
175.0	53791.0
176.0	53659.0
177.0	54287.0
178.0	54220.0
179.0	53966.0
180.0	54944.0
181.0	54544.0
182.0	55061.0
183.0	55013.0
184.0	55106.0
185.0	54370.0
186.0	53951.0
187.0	54092.0
188.0	53723.0
189.0	54084.0
190.0	53544.0
191.0	53718.0
192.0	53935.0
193.0	53490.0
