#Mapping quality	mapping quality
0.0	197058.0
1.0	7683767.0
2.0	51158.0
3.0	58494.0
4.0	29087.0
5.0	18988.0
6.0	203413.0
7.0	102758.0
8.0	85779.0
9.0	35642.0
10.0	36966.0
11.0	92540.0
12.0	203132.0
13.0	22171.0
14.0	59328.0
15.0	127384.0
16.0	96096.0
17.0	160981.0
18.0	168354.0
19.0	39505.0
20.0	59219.0
21.0	281321.0
22.0	89365.0
23.0	311925.0
24.0	511551.0
25.0	137624.0
26.0	118074.0
27.0	117667.0
28.0	179161.0
29.0	139030.0
30.0	974606.0
31.0	859136.0
32.0	1019486.0
33.0	605982.0
34.0	917510.0
35.0	725567.0
36.0	828676.0
37.0	811741.0
38.0	1049205.0
39.0	996445.0
40.0	2312837.0
41.0	5893821.0
42.0	1.26361165E8
