#Duplication rate	Coverage
1.0	6929075.0
2.0	1021530.0
3.0	200555.0
4.0	59075.0
5.0	23494.0
6.0	11021.0
7.0	6157.0
8.0	3724.0
9.0	2434.0
10.0	1660.0
11.0	1252.0
12.0	983.0
13.0	783.0
14.0	595.0
15.0	537.0
16.0	445.0
17.0	399.0
18.0	355.0
19.0	281.0
20.0	283.0
21.0	257.0
22.0	217.0
23.0	247.0
24.0	180.0
25.0	179.0
26.0	190.0
27.0	161.0
28.0	146.0
29.0	125.0
30.0	127.0
31.0	135.0
32.0	109.0
33.0	112.0
34.0	118.0
35.0	106.0
36.0	103.0
37.0	96.0
38.0	89.0
39.0	82.0
40.0	83.0
41.0	98.0
42.0	69.0
43.0	73.0
44.0	72.0
45.0	52.0
46.0	66.0
47.0	51.0
48.0	51.0
49.0	47.0
50.0	2509.0
