#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	5.052240163288402E-6
10.0	5.052240163288402E-6
11.0	8.420400272147337E-6
12.0	1.6840800544294673E-6
13.0	1.178856038100627E-5
14.0	2.0208960653153607E-5
15.0	1.178856038100627E-5
16.0	2.020896065315361E-5
17.0	2.1893040707583072E-5
18.0	2.020896065315361E-5
19.0	1.6840800544294674E-5
20.0	2.526120081644201E-5
21.0	2.8629360925300944E-5
22.0	4.378608141516616E-5
23.0	8.083584261261444E-5
24.0	6.904728223160818E-5
25.0	1.54935365007511E-4
26.0	2.1893040707583077E-4
27.0	3.3007969066817564E-4
28.0	7.915176255818497E-4
29.0	8.251992266704391E-4
30.0	0.0015914556514358465
31.0	0.0019602691833559
32.0	0.0025917992037669496
33.0	0.004712055992293651
34.0	0.005671981623318447
35.0	0.008400191311494182
36.0	0.010156686808264119
37.0	0.012287048077117392
38.0	0.01696710654837688
39.0	0.018028076982667444
40.0	0.022538043368429562
41.0	0.024116026379429972
42.0	0.02567885266994052
43.0	0.02929120438669173
44.0	0.028721985328294567
45.0	0.029944627447810356
46.0	0.02820160459147586
47.0	0.02668424846243491
48.0	0.026544469817917266
49.0	0.023376715235535438
50.0	0.024365270227485532
51.0	0.02320999131014692
52.0	0.017014260789900912
53.0	0.021832413825623613
54.0	0.014686862154679382
55.0	0.018184696427729387
56.0	0.01615032772197859
57.0	0.011064405957601603
58.0	0.02496985496702571
59.0	0.009776084715963057
60.0	0.017598636568787934
61.0	0.013989653012145584
62.0	0.006337193244818085
63.0	0.030854030677202274
64.0	0.007644039367055351
65.0	0.03211203847786108
66.0	0.01663029053749099
67.0	0.00936011694251898
68.0	0.04195380231594689
69.0	0.011460164770392526
70.0	0.0484122493246839
71.0	0.02198734919063113
72.0	0.011465217010555813
73.0	0.047221604726202265
74.0	0.008578703797263708
75.0	0.03999016497248213
76.0	0.017955661540326982
77.0	0.007231439753720132
78.0	0.033289210435907275
79.0	0.004221988696454675
80.0	0.016209270523883625
81.0	0.004740685353218951
82.0	0.0023678165565278316
83.0	0.0050101381619276665
84.0	8.31935546888157E-4
85.0	0.0047171082324569385
86.0	0.0013725252443600158
87.0	4.765946554035392E-4
88.0	0.002763575369318756
89.0	1.7009208549737618E-4
90.0	0.0015594581304016867
91.0	5.3890561741742966E-5
92.0	1.6840800544294673E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.6840800544294673E-6
