#Insert size (bp)	insert size
35.0	1.0
36.0	3.0
37.0	1.0
38.0	3.0
39.0	13.0
40.0	23.0
41.0	162.0
42.0	169.0
43.0	164.0
44.0	185.0
45.0	171.0
46.0	145.0
47.0	142.0
48.0	176.0
49.0	163.0
50.0	153.0
51.0	179.0
52.0	132.0
53.0	153.0
54.0	170.0
55.0	111.0
56.0	125.0
57.0	161.0
58.0	155.0
59.0	184.0
60.0	167.0
61.0	172.0
62.0	172.0
63.0	156.0
64.0	165.0
65.0	170.0
66.0	172.0
67.0	180.0
68.0	200.0
69.0	186.0
70.0	190.0
71.0	211.0
72.0	216.0
73.0	204.0
74.0	242.0
75.0	250.0
76.0	277.0
77.0	284.0
78.0	304.0
79.0	326.0
80.0	361.0
81.0	370.0
82.0	390.0
83.0	489.0
84.0	574.0
85.0	583.0
86.0	745.0
87.0	752.0
88.0	863.0
89.0	962.0
90.0	1194.0
91.0	1374.0
92.0	1521.0
93.0	1758.0
94.0	2037.0
95.0	2247.0
96.0	2522.0
97.0	2877.0
98.0	3124.0
99.0	3463.0
100.0	4097.0
101.0	4679.0
102.0	5357.0
103.0	5497.0
104.0	6161.0
105.0	6643.0
106.0	7221.0
107.0	8041.0
108.0	8650.0
109.0	9477.0
110.0	10262.0
111.0	10664.0
112.0	11156.0
113.0	11945.0
114.0	13319.0
115.0	14162.0
116.0	14786.0
117.0	15819.0
118.0	16643.0
119.0	17572.0
120.0	18457.0
121.0	19220.0
122.0	20618.0
123.0	21863.0
124.0	22719.0
125.0	23629.0
126.0	25167.0
127.0	26501.0
128.0	27467.0
129.0	29220.0
130.0	30278.0
131.0	31021.0
132.0	32262.0
133.0	33168.0
134.0	34781.0
135.0	35911.0
136.0	36730.0
137.0	38492.0
138.0	39245.0
139.0	40668.0
140.0	40986.0
141.0	42493.0
142.0	43432.0
143.0	44327.0
144.0	46233.0
145.0	45881.0
146.0	47206.0
147.0	48158.0
148.0	50727.0
149.0	51304.0
150.0	51838.0
151.0	51211.0
152.0	52243.0
153.0	53176.0
154.0	53969.0
155.0	55901.0
156.0	57128.0
157.0	57883.0
158.0	58112.0
159.0	59169.0
160.0	58785.0
161.0	58823.0
162.0	61053.0
163.0	59312.0
164.0	59962.0
165.0	59541.0
166.0	61480.0
167.0	62550.0
168.0	61970.0
169.0	62183.0
170.0	61598.0
171.0	62976.0
172.0	64303.0
173.0	64157.0
174.0	63941.0
175.0	63310.0
176.0	61998.0
177.0	62703.0
178.0	63912.0
179.0	63888.0
180.0	62832.0
181.0	64567.0
182.0	62523.0
183.0	62989.0
184.0	63451.0
185.0	63689.0
186.0	63677.0
187.0	63539.0
188.0	64249.0
189.0	64481.0
190.0	64168.0
191.0	64428.0
192.0	63333.0
193.0	62667.0
194.0	62336.0
195.0	62470.0
196.0	62804.0
197.0	63170.0
198.0	62381.0
199.0	62744.0
200.0	61088.0
201.0	61612.0
202.0	61063.0
203.0	60010.0
204.0	60246.0
205.0	59541.0
206.0	57613.0
207.0	57649.0
208.0	56035.0
209.0	56468.0
210.0	55865.0
211.0	56327.0
212.0	56003.0
213.0	55965.0
214.0	55344.0
215.0	55197.0
216.0	54644.0
217.0	53811.0
218.0	53750.0
219.0	52109.0
220.0	52766.0
221.0	52394.0
222.0	52215.0
223.0	51360.0
224.0	51487.0
225.0	50974.0
226.0	50915.0
227.0	49660.0
228.0	49788.0
229.0	48484.0
230.0	47809.0
231.0	46955.0
232.0	46979.0
233.0	47496.0
234.0	46785.0
235.0	47792.0
236.0	46967.0
237.0	46168.0
238.0	45113.0
239.0	43717.0
240.0	43464.0
241.0	43094.0
242.0	42268.0
243.0	42400.0
244.0	41919.0
245.0	41541.0
246.0	39765.0
247.0	39391.0
248.0	39731.0
249.0	39282.0
250.0	38627.0
251.0	38469.0
252.0	38547.0
253.0	38080.0
254.0	37565.0
255.0	36907.0
256.0	36151.0
257.0	36213.0
258.0	35536.0
259.0	35311.0
260.0	35573.0
261.0	36186.0
262.0	35121.0
263.0	34071.0
264.0	33278.0
265.0	33593.0
266.0	32519.0
267.0	32128.0
268.0	31612.0
269.0	31388.0
270.0	30908.0
271.0	30431.0
272.0	30354.0
273.0	29607.0
274.0	29328.0
275.0	29726.0
276.0	29750.0
277.0	28838.0
278.0	28656.0
279.0	28873.0
280.0	28182.0
281.0	28247.0
282.0	27798.0
283.0	26949.0
284.0	26836.0
285.0	26350.0
286.0	25990.0
287.0	25761.0
288.0	25760.0
289.0	25020.0
290.0	24246.0
291.0	24127.0
292.0	24018.0
293.0	23936.0
294.0	23819.0
295.0	23533.0
296.0	23408.0
297.0	22618.0
298.0	22753.0
299.0	22166.0
300.0	21801.0
301.0	21326.0
302.0	21491.0
303.0	21278.0
304.0	20223.0
305.0	20324.0
306.0	20532.0
307.0	19916.0
308.0	20070.0
309.0	19346.0
310.0	18775.0
311.0	18834.0
312.0	18968.0
313.0	19108.0
314.0	18442.0
315.0	18379.0
316.0	18304.0
317.0	17621.0
318.0	17405.0
319.0	17557.0
320.0	17219.0
321.0	17302.0
322.0	16640.0
323.0	17372.0
324.0	16423.0
325.0	15967.0
326.0	16079.0
327.0	16210.0
328.0	15583.0
329.0	15351.0
330.0	15276.0
331.0	15277.0
332.0	14671.0
333.0	14306.0
334.0	14661.0
335.0	14573.0
336.0	14306.0
337.0	14100.0
338.0	13747.0
339.0	13656.0
340.0	13745.0
341.0	13348.0
342.0	13190.0
343.0	12851.0
344.0	12403.0
345.0	12476.0
346.0	12317.0
347.0	11894.0
348.0	12002.0
349.0	11505.0
350.0	11535.0
351.0	11642.0
352.0	11668.0
353.0	11649.0
354.0	11353.0
355.0	11053.0
356.0	10640.0
357.0	10670.0
358.0	10723.0
359.0	10611.0
360.0	10504.0
361.0	10286.0
362.0	10206.0
363.0	9709.0
364.0	9895.0
365.0	9623.0
366.0	9495.0
367.0	9436.0
368.0	9310.0
369.0	9037.0
370.0	8997.0
371.0	8839.0
372.0	8668.0
373.0	8514.0
374.0	8397.0
375.0	8164.0
376.0	8145.0
377.0	8058.0
378.0	8063.0
379.0	7915.0
380.0	7893.0
381.0	7765.0
382.0	7462.0
383.0	7334.0
384.0	7468.0
385.0	7284.0
386.0	7423.0
387.0	7318.0
388.0	7049.0
389.0	7117.0
390.0	6889.0
391.0	6656.0
