#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	4.144923090952048E-6
15.0	8.289846181904095E-6
16.0	3.315938472761638E-5
17.0	8.289846181904095E-6
18.0	2.9014461636664334E-5
19.0	8.289846181904095E-6
20.0	3.315938472761638E-5
21.0	1.2434769272856143E-5
22.0	4.973907709142457E-5
23.0	1.5336215436522572E-4
24.0	1.492172312742737E-4
25.0	3.688981550947322E-4
26.0	3.564633858218761E-4
27.0	5.802892327332866E-4
28.0	0.0012849261581951345
29.0	0.0013761144661960797
30.0	0.002292142469296482
31.0	0.0034734455502178152
32.0	0.004538690784592491
33.0	0.007067093870073242
34.0	0.009446279724279718
35.0	0.013039928044135143
36.0	0.017213865596723853
37.0	0.022075860382410606
38.0	0.0285419404042958
39.0	0.03330031211270875
40.0	0.04095184013860623
41.0	0.04487293738264687
42.0	0.04920852693578271
43.0	0.052789740486365276
44.0	0.0515089592512611
45.0	0.05297211710236717
46.0	0.05252032048545339
47.0	0.049652033706514574
48.0	0.0478697167774052
49.0	0.04329786660808509
50.0	0.040549782598783876
51.0	0.03907418997840495
52.0	0.028450752096294857
53.0	0.03860581366912736
54.0	0.02622907331954456
55.0	0.026394870243182638
56.0	0.026556522243729768
57.0	0.016252243439622976
58.0	0.01949771821983843
59.0	0.010540539420291055
60.0	0.011066944652841967
61.0	0.007133412639528473
62.0	0.004824690477868184
63.0	0.0087043384909993
64.0	0.0028807215482116733
65.0	0.0043646040147725055
66.0	0.002457939392934564
67.0	0.0017242880058360517
68.0	0.005293066787145763
69.0	0.0011895929271032374
70.0	0.008700193567908347
71.0	0.0029263157022121457
72.0	7.295064640075604E-4
73.0	0.007170716947347042
74.0	6.673326176432796E-4
75.0	0.00402886524440539
76.0	0.0014548680049241687
77.0	4.600864630956772E-4
78.0	0.0062837034058833025
79.0	3.4402861654902E-4
80.0	0.0033449529343983027
81.0	9.450424647370668E-4
82.0	2.486953854571229E-4
83.0	0.0024413597005707556
84.0	1.9066646218379417E-4
85.0	0.003336663088216398
86.0	4.849560016413896E-4
87.0	1.5336215436522575E-4
88.0	0.0019025196987469898
89.0	4.559415400047253E-5
90.0	0.001139853850011813
91.0	7.046369254618481E-5
92.0	2.4869538545712286E-5
93.0	2.4869538545712286E-5
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
