#Mapping quality	mapping quality
0.0	268220.0
1.0	9953757.0
2.0	69455.0
3.0	73152.0
4.0	39646.0
5.0	27062.0
6.0	257361.0
7.0	139822.0
8.0	107466.0
9.0	45355.0
10.0	48593.0
11.0	118531.0
12.0	265995.0
13.0	28511.0
14.0	75099.0
15.0	163855.0
16.0	119607.0
17.0	204790.0
18.0	206337.0
19.0	53572.0
20.0	77454.0
21.0	333507.0
22.0	112390.0
23.0	382443.0
24.0	623343.0
25.0	176957.0
26.0	155366.0
27.0	151619.0
28.0	223987.0
29.0	179480.0
30.0	1263116.0
31.0	1075574.0
32.0	1269125.0
33.0	728179.0
34.0	1175436.0
35.0	905442.0
36.0	995724.0
37.0	980761.0
38.0	1248581.0
39.0	1168553.0
40.0	2790447.0
41.0	7375157.0
42.0	1.47808106E8
