#Insert size (bp)	insert size
30.0	1.0
34.0	1.0
35.0	2.0
36.0	4.0
37.0	5.0
38.0	17.0
39.0	30.0
40.0	131.0
41.0	511.0
42.0	528.0
43.0	506.0
44.0	536.0
45.0	462.0
46.0	521.0
47.0	502.0
48.0	498.0
49.0	515.0
50.0	564.0
51.0	487.0
52.0	451.0
53.0	497.0
54.0	472.0
55.0	479.0
56.0	516.0
57.0	520.0
58.0	487.0
59.0	509.0
60.0	478.0
61.0	469.0
62.0	489.0
63.0	532.0
64.0	448.0
65.0	472.0
66.0	506.0
67.0	503.0
68.0	513.0
69.0	556.0
70.0	509.0
71.0	551.0
72.0	555.0
73.0	520.0
74.0	517.0
75.0	545.0
76.0	558.0
77.0	624.0
78.0	637.0
79.0	647.0
80.0	573.0
81.0	662.0
82.0	726.0
83.0	819.0
84.0	804.0
85.0	887.0
86.0	1013.0
87.0	1083.0
88.0	1171.0
89.0	1302.0
90.0	1479.0
91.0	1590.0
92.0	1835.0
93.0	2002.0
94.0	2268.0
95.0	2541.0
96.0	2750.0
97.0	3094.0
98.0	3405.0
99.0	3787.0
100.0	4265.0
101.0	4943.0
102.0	5589.0
103.0	5850.0
104.0	6431.0
105.0	6877.0
106.0	7578.0
107.0	8481.0
108.0	9246.0
109.0	10057.0
110.0	10450.0
111.0	11347.0
112.0	12145.0
113.0	13031.0
114.0	14157.0
115.0	15526.0
116.0	16435.0
117.0	17187.0
118.0	18240.0
119.0	19138.0
120.0	20349.0
121.0	21997.0
122.0	23205.0
123.0	24469.0
124.0	25988.0
125.0	27030.0
126.0	28718.0
127.0	29910.0
128.0	31770.0
129.0	33348.0
130.0	35204.0
131.0	36637.0
132.0	38116.0
133.0	39512.0
134.0	41714.0
135.0	42978.0
136.0	44257.0
137.0	46424.0
138.0	48138.0
139.0	50610.0
140.0	51283.0
141.0	53473.0
142.0	55057.0
143.0	56064.0
144.0	59048.0
145.0	60067.0
146.0	60627.0
147.0	63000.0
148.0	65186.0
149.0	67039.0
150.0	68221.0
151.0	69546.0
152.0	70821.0
153.0	71784.0
154.0	73296.0
155.0	75550.0
156.0	77822.0
157.0	78509.0
158.0	80037.0
159.0	82806.0
160.0	82227.0
161.0	83114.0
162.0	85867.0
163.0	84567.0
164.0	86050.0
165.0	86936.0
166.0	87916.0
167.0	90365.0
168.0	90156.0
169.0	91217.0
170.0	91844.0
171.0	92981.0
172.0	94301.0
173.0	94367.0
174.0	96207.0
175.0	95762.0
176.0	95270.0
177.0	95587.0
178.0	96181.0
179.0	97796.0
180.0	96727.0
181.0	99071.0
182.0	98378.0
183.0	98721.0
184.0	98765.0
185.0	98727.0
186.0	97832.0
187.0	99020.0
188.0	99390.0
189.0	100837.0
190.0	100191.0
191.0	100752.0
192.0	99928.0
193.0	99154.0
194.0	100093.0
195.0	99628.0
196.0	100646.0
197.0	99928.0
198.0	100283.0
199.0	100068.0
200.0	98977.0
201.0	98853.0
202.0	97735.0
203.0	97996.0
204.0	97958.0
205.0	96391.0
206.0	95552.0
207.0	94597.0
208.0	93661.0
209.0	92891.0
210.0	93271.0
211.0	93717.0
212.0	93063.0
213.0	93205.0
214.0	91369.0
215.0	92171.0
216.0	92164.0
217.0	90597.0
218.0	90959.0
219.0	88760.0
220.0	88634.0
221.0	88493.0
222.0	88295.0
223.0	87375.0
224.0	87042.0
225.0	87057.0
226.0	86582.0
227.0	85450.0
228.0	85291.0
229.0	82917.0
230.0	82929.0
231.0	81952.0
232.0	81499.0
233.0	81398.0
234.0	81246.0
235.0	81696.0
236.0	80002.0
237.0	79397.0
238.0	78246.0
239.0	77333.0
240.0	76443.0
241.0	75616.0
242.0	74328.0
243.0	74601.0
244.0	73163.0
245.0	72287.0
246.0	70653.0
247.0	70549.0
248.0	69819.0
249.0	70350.0
250.0	69507.0
251.0	68968.0
252.0	68527.0
253.0	67354.0
254.0	66927.0
255.0	65554.0
256.0	64869.0
257.0	64526.0
258.0	64006.0
259.0	63492.0
260.0	63899.0
261.0	63817.0
262.0	62506.0
263.0	61579.0
264.0	60018.0
265.0	58730.0
266.0	58039.0
267.0	57593.0
268.0	56616.0
269.0	55546.0
270.0	55109.0
271.0	54617.0
272.0	54328.0
273.0	53605.0
274.0	53066.0
275.0	54136.0
276.0	52530.0
277.0	51555.0
278.0	51248.0
279.0	51106.0
280.0	49964.0
281.0	50268.0
282.0	50178.0
283.0	48498.0
284.0	48368.0
285.0	47653.0
286.0	46905.0
287.0	47028.0
288.0	46321.0
289.0	45559.0
290.0	44891.0
291.0	44170.0
292.0	44200.0
293.0	43475.0
294.0	42843.0
295.0	42747.0
296.0	41949.0
297.0	41752.0
298.0	40804.0
299.0	40505.0
300.0	39493.0
301.0	38593.0
302.0	38814.0
303.0	38678.0
304.0	37456.0
305.0	36997.0
306.0	37571.0
307.0	36712.0
308.0	36457.0
309.0	35559.0
310.0	34772.0
311.0	34735.0
312.0	34785.0
313.0	34616.0
314.0	33878.0
315.0	32945.0
316.0	33177.0
317.0	32390.0
318.0	32186.0
319.0	32269.0
320.0	31910.0
321.0	31519.0
322.0	30714.0
323.0	31428.0
324.0	30093.0
