#Coverage	Number of genomic locations
0.0	2.513671217E9
1.0	1.19519622E8
2.0	4.5755204E7
3.0	2.0646715E7
4.0	1.0262016E7
5.0	5510580.0
6.0	3181568.0
7.0	1962548.0
8.0	1273802.0
9.0	862695.0
10.0	608172.0
11.0	442979.0
12.0	327898.0
13.0	249971.0
14.0	194287.0
15.0	152916.0
16.0	123153.0
17.0	100236.0
18.0	82248.0
19.0	67955.0
20.0	56701.0
21.0	48355.0
22.0	40482.0
23.0	34373.0
24.0	29036.0
25.0	25325.0
26.0	21517.0
27.0	18406.0
28.0	16170.0
29.0	14278.0
30.0	12535.0
31.0	10816.0
32.0	9767.0
33.0	8478.0
34.0	7554.0
35.0	6778.0
36.0	6247.0
37.0	5817.0
38.0	5173.0
39.0	4765.0
40.0	4331.0
41.0	3940.0
42.0	3645.0
43.0	3534.0
44.0	3299.0
45.0	3270.0
46.0	3003.0
47.0	2791.0
48.0	2781.0
49.0	2683.0
50.0	2558.0
51.0	2416.0
52.0	2373.0
53.0	2199.0
54.0	2359.0
55.0	2123.0
56.0	2209.0
57.0	2147.0
58.0	2114.0
59.0	2159.0
60.0	2080.0
61.0	1930.0
62.0	1916.0
63.0	1913.0
64.0	1828.0
65.0	1905.0
66.0	1803.0
67.0	1766.0
68.0	1652.0
69.0	1639.0
70.0	1606.0
71.0	1619.0
72.0	1496.0
73.0	1555.0
74.0	1442.0
75.0	1353.0
76.0	1333.0
77.0	1355.0
78.0	1342.0
79.0	1271.0
80.0	1220.0
81.0	1220.0
82.0	1084.0
83.0	1100.0
84.0	1095.0
85.0	1030.0
86.0	987.0
87.0	961.0
88.0	936.0
89.0	820.0
90.0	836.0
91.0	763.0
92.0	722.0
93.0	700.0
94.0	667.0
95.0	660.0
96.0	710.0
97.0	664.0
98.0	676.0
99.0	627.0
100.0	589.0
101.0	599.0
102.0	641.0
103.0	518.0
104.0	524.0
105.0	497.0
106.0	472.0
107.0	474.0
108.0	393.0
109.0	414.0
110.0	384.0
111.0	406.0
112.0	398.0
113.0	421.0
114.0	380.0
115.0	364.0
116.0	410.0
117.0	385.0
118.0	359.0
119.0	355.0
120.0	324.0
121.0	316.0
122.0	294.0
123.0	324.0
124.0	324.0
125.0	297.0
126.0	289.0
127.0	276.0
128.0	268.0
129.0	247.0
130.0	229.0
131.0	225.0
132.0	267.0
133.0	231.0
134.0	216.0
135.0	225.0
136.0	254.0
137.0	208.0
138.0	235.0
139.0	256.0
140.0	192.0
141.0	202.0
142.0	194.0
143.0	180.0
144.0	175.0
145.0	180.0
146.0	186.0
147.0	171.0
148.0	165.0
149.0	162.0
