#Duplication rate	Coverage
1.0	1.8769658E7
2.0	2809575.0
3.0	508376.0
4.0	130890.0
5.0	45457.0
6.0	20636.0
7.0	10916.0
8.0	6746.0
9.0	4402.0
10.0	3218.0
11.0	2528.0
12.0	1939.0
13.0	1526.0
14.0	1309.0
15.0	1041.0
16.0	882.0
17.0	741.0
18.0	601.0
19.0	573.0
20.0	547.0
21.0	460.0
22.0	453.0
23.0	385.0
24.0	348.0
25.0	354.0
26.0	284.0
27.0	273.0
28.0	253.0
29.0	227.0
30.0	226.0
31.0	199.0
32.0	176.0
33.0	186.0
34.0	180.0
35.0	165.0
36.0	149.0
37.0	139.0
38.0	131.0
39.0	120.0
40.0	133.0
41.0	117.0
42.0	115.0
43.0	101.0
44.0	106.0
45.0	98.0
46.0	89.0
47.0	93.0
48.0	81.0
49.0	81.0
50.0	8859.0
