#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	6.063145232336694E-7
8.0	4.244201662635686E-6
9.0	3.637887139402016E-6
10.0	9.70103237173871E-6
11.0	1.2126290464673385E-5
12.0	1.697680665054274E-5
13.0	1.940206474347742E-5
14.0	2.425258092934678E-5
15.0	3.516624234755283E-5
16.0	4.4867274719291534E-5
17.0	4.72925328122262E-5
18.0	6.305671041630163E-5
19.0	8.124614611331168E-5
20.0	1.0792398513559317E-4
21.0	1.8917013124890487E-4
22.0	2.4252580929346774E-4
23.0	3.965296981948198E-4
24.0	5.90550345629594E-4
25.0	0.0010034505359517228
26.0	0.001149572336051037
27.0	0.0019353559581618727
28.0	0.0031425281739201087
29.0	0.003432952830549036
30.0	0.006172888161041988
31.0	0.006500904318111403
32.0	0.008584807334465525
33.0	0.012469464484823643
34.0	0.013294052236421435
35.0	0.019909549999424004
36.0	0.020954229922955613
37.0	0.026737257845558353
38.0	0.031690847500377435
39.0	0.03478244525434591
40.0	0.04153315115602959
41.0	0.04111297519142866
42.0	0.04328176224103549
43.0	0.044821801130049015
44.0	0.04381107481981848
45.0	0.04554149646912737
46.0	0.04298284918108129
47.0	0.04130457058077049
48.0	0.04001130170271308
49.0	0.036572285726931705
50.0	0.035100154064520356
51.0	0.03434893037023384
52.0	0.02513780013326793
53.0	0.02786682180234268
54.0	0.022247498801013028
55.0	0.02209955805734402
56.0	0.01945784567961492
57.0	0.015239109226955044
58.0	0.018649022105621204
59.0	0.01133868789899285
60.0	0.0123894309677568
61.0	0.00967132296010026
62.0	0.006234125927888587
63.0	0.012618617857539125
64.0	0.00496207805814435
65.0	0.010631725164902392
66.0	0.0061286272008459295
67.0	0.0036148471875191365
68.0	0.011133147275616637
69.0	0.003717314341945627
70.0	0.012765345972161675
71.0	0.005732703817174343
72.0	0.0031504102627221463
73.0	0.011596371571367161
74.0	0.002209410122663491
75.0	0.009064402122343357
76.0	0.004222374339799275
77.0	0.0016243166077430002
78.0	0.007620160928000756
79.0	0.0011065240049014464
80.0	0.0038276635851741546
81.0	0.0012550710630936954
82.0	6.596702012782323E-4
83.0	0.0016382618417773748
84.0	2.0796588146914863E-4
85.0	0.00214150289606132
86.0	5.09910514039516E-4
87.0	1.5400388890135202E-4
88.0	0.001780745754737287
89.0	7.154511374157297E-5
90.0	7.099943067066269E-4
91.0	4.183570210312319E-5
92.0	9.094717848505039E-6
93.0	9.094717848505039E-6
94.0	4.244201662635685E-6
95.0	1.1519975941439716E-5
96.0	8.488403325271372E-6
97.0	1.3338919511140723E-5
98.0	1.6976806650542743E-5
99.0	2.7284153545515117E-5
100.0	6.002513780013327E-4
