"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031252","cell leading edge","23/633","380/23407",0.000302882232350402,0.0780167644639235,0.0682507967927638,"Map2/Vil1/Gsn/Arhgef2/Eps8l1/Kcnc1/Mpp2/Bcas3/Itgb3/Itgb4/Syne2/Ripor2/Cxcr4/Dpp4/Fap/Ddx58/Frmd4b/Psd3/Pdlim4/Pecam1/Itgb1bp1/Jmy/Arhgap31",23
"GO:0043679","axon terminus","14/633","183/23407",0.000478051404584871,0.0780167644639235,0.0682507967927638,"Rapgef4/Prss12/Kcnc1/Esr1/Tspoap1/Erc2/Adra2a/Gria3/Cyp19a1/Cnga1/Cplx1/Cplx3/Tulp1/L1cam",14
"GO:0043195","terminal bouton","9/633","86/23407",0.000527140300431915,0.0780167644639235,0.0682507967927638,"Prss12/Esr1/Erc2/Gria3/Cyp19a1/Cnga1/Cplx1/Cplx3/L1cam",9
"GO:0045211","postsynaptic membrane","21/633","368/23407",0.00115126073997572,0.120069463294305,0.105039430904691,"Cnksr2/Kcnc1/Dlg2/Mpp2/Arrb1/P2rx1/Nrcam/Prr7/Prrt1/Adra2a/Gria3/Adgrl2/Ntrk3/Psd3/Lzts1/Tmem108/Syne1/Pdlim4/Chrne/Kctd12/Arc",21
"GO:0044306","neuron projection terminus","14/633","205/23407",0.00144516434634662,0.120069463294305,0.105039430904691,"Rapgef4/Prss12/Kcnc1/Esr1/Tspoap1/Erc2/Adra2a/Gria3/Cyp19a1/Cnga1/Cplx1/Cplx3/Tulp1/L1cam",14
"GO:0016528","sarcoplasm","8/633","83/23407",0.00181856716727795,0.120069463294305,0.105039430904691,"Gsn/Syne2/Pygm/Nos1ap/Mrvi1/Atp2a1/Camk2b/Xdh",8
"GO:0001726","ruffle","11/633","144/23407",0.00189298703391922,0.120069463294305,0.105039430904691,"Map2/Vil1/Gsn/Arhgef2/Eps8l1/Itgb3/Ddx58/Frmd4b/Psd3/Pecam1/Itgb1bp1",11
"GO:0033267","axon part","23/633","446/23407",0.00256154380943796,0.120210451489367,0.105162770506346,"Map2/Adcy10/Rapgef4/Prss12/Kcnc1/Dlg2/Esr1/Tspoap1/Nrcam/Erc2/Adra2a/Gria3/Cyp19a1/Cxcr4/Mapk8ip1/Prex1/Pink1/Cnga1/Cplx1/Scn1b/Cplx3/Tulp1/L1cam",23
"GO:0098636","protein complex involved in cell adhesion","5/633","36/23407",0.00268183588609668,0.120210451489367,0.105162770506346,"Cd28/Itgae/Itgb3/Itgb4/Itga2b",5
"GO:0150034","distal axon","20/633","369/23407",0.00271564205500215,0.120210451489367,0.105162770506346,"Map2/Adcy10/Rapgef4/Prss12/Kcnc1/Esr1/Tspoap1/Erc2/Adra2a/Gria3/Cyp19a1/Cxcr4/Mapk8ip1/Prex1/Pink1/Cnga1/Cplx1/Cplx3/Tulp1/L1cam",20
"GO:0031253","cell projection membrane","17/633","296/23407",0.00306208947385139,0.120210451489367,0.105162770506346,"Map2/Arhgef2/Abcb1a/Eps8l1/Kcnc1/Mpp2/Itgb3/Syne2/Ripor2/Ehd3/Dpp4/Fap/Ddx58/Cnga1/Psd3/Slc6a18/Slc6a19",17
"GO:0030175","filopodium","8/633","91/23407",0.00324893112133425,0.120210451489367,0.105162770506346,"Map2/Vil1/Myo3b/Itgb3/Syne2/Ripor2/Myo1b/Acpp",8
"GO:0044294","dendritic growth cone","3/633","12/23407",0.00360835282262484,0.12198321405865,0.10671362254064,"Map2/Mapk8ip1/L1cam",3
"GO:0016529","sarcoplasmic reticulum","7/633","74/23407",0.00384631756040788,0.12198321405865,0.10671362254064,"Syne2/Pygm/Nos1ap/Mrvi1/Atp2a1/Camk2b/Xdh",7
"GO:0045177","apical part of cell","21/633","413/23407",0.00452102559714451,0.133822357675478,0.117070768094479,"Adcy10/Rapgef4/Patj/Abcb1a/C1qtnf5/Itgb3/Ripor2/Atp6ap2/Myo1b/Cd55b/Cd55/Hsd11b1/Dpp4/Fap/Lzts1/Acpp/Gnat1/Ctsl/Slc6a18/Slc6a19/Adrb2",21
"GO:0001518","voltage-gated sodium channel complex","3/633","14/23407",0.00573462303919321,0.159135789337612,0.139215519833046,"Scn7a/Scn2b/Scn1b",3
"GO:0031256","leading edge membrane","10/633","149/23407",0.00742357535918396,0.193886321145746,0.169616056194358,"Map2/Arhgef2/Eps8l1/Kcnc1/Mpp2/Itgb3/Syne2/Ripor2/Ddx58/Psd3",10
"GO:0098936","intrinsic component of postsynaptic membrane","11/633","178/23407",0.00931411126291587,0.218955468777957,0.191547102842736,"Kcnc1/Dlg2/Mpp2/P2rx1/Nrcam/Prrt1/Adra2a/Gria3/Adgrl2/Ntrk3/Chrne",11
