"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000776","kinetochore","30/564","130/23407",3.71969536585208e-21,1.65154474243833e-18,1.48004720872851e-18,"Sgo2a/Nsl1/Nek2/Bub1b/Cenpe/Kntc1/Cenpn/Ttk/Nup37/Nudcd2/Aurkb/Spag5/Ska2/Birc5/Nuf2/Cenpf/Spc25/Bub1/Cenps/Spc24/Zwilch/Spdl1/Cenpv/Mis18bp1/Cenph/Ccnb1/Cenpm/Cbx5/Sgo1/Ska1",30
"GO:0000775","chromosome, centromeric region","33/564","189/23407",3.81112421829111e-19,8.46069576460626e-17,7.58213133954757e-17,"Sgo2a/Nsl1/Nek2/Bub1b/Cenpe/Ncapg/Kntc1/Cenpn/Ttk/Nup37/Nudcd2/Aurkb/Spag5/Ska2/Birc5/Nuf2/Cenpf/Spc25/Bub1/Cenps/Spc24/Zwilch/Spdl1/Cenpv/Mis18bp1/Cenpp/Cenph/Ccnb1/Esco2/Cenpm/Cbx5/Sgo1/Ska1",33
"GO:0098687","chromosomal region","40/564","298/23407",1.13698521738868e-18,1.68273812173525e-16,1.50800144622078e-16,"Sgo2a/Nsl1/Nek2/Bub1b/Rad51/Cenpe/Ncapg/Chek2/Kntc1/Brca2/Cenpn/Pif1/Ttk/Dna2/Nup37/Nudcd2/Aurkb/Spag5/Ska2/Birc5/Nuf2/Cenpf/Spc25/Bub1/Cenps/Ezh2/Spc24/Zwilch/Spdl1/Cenpv/Mis18bp1/Cenpp/Cenph/Ccnb1/Esco2/Cenpm/Cbx5/Sgo1/Ska1/Dclre1a",40
"GO:0005819","spindle","36/564","272/23407",1.00551254994191e-16,1.11611893043552e-14,1.00022037862643e-14,"Kif14/Aspm/Nek2/Bub1b/Tpx2/Cenpe/Aunip/Cdc7/Kntc1/Prc1/Ttk/Myh10/Aurkb/Spag5/Ska2/Cdc6/Birc5/Espl1/Kif20a/Kif11/Cenpf/Ckap2l/Ect2/Kif23/Cdk1/Spdl1/Cenpv/Haspin/Kif18b/Wdr60/Ccnb1/Dlgap5/Racgap1/Kifc1/Sgo1/Ska1",36
"GO:0000779","condensed chromosome, centromeric region","17/564","50/23407",1.15617279318188e-15,1.02668144034551e-13,9.20070138574212e-14,"Sgo2a/Nsl1/Bub1b/Cenpe/Ncapg/Aurkb/Ska2/Birc5/Nuf2/Cenpf/Spc25/Bub1/Spdl1/Mis18bp1/Ccnb1/Sgo1/Ska1",17
"GO:0044815","DNA packaging complex","20/564","97/23407",1.51536735061387e-13,1.12137183945427e-11,1.00492782198604e-11,"Smc2/Ncapg/Ncapg2/Hist1h2bm/Hist1h4j/Hist1h2bk/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h2bb/Hist1h3b/Hist1h4b/Irf4/Hist1h4k/Hist1h1b/Hist1h2ah/Hist1h4i/Hist1h4f/Hist1h3c",20
"GO:0000777","condensed chromosome kinetochore","13/564","34/23407",4.69990654779095e-13,2.98108358174169e-11,2.67152582716538e-11,"Nsl1/Bub1b/Cenpe/Ska2/Birc5/Nuf2/Cenpf/Spc25/Bub1/Spdl1/Mis18bp1/Ccnb1/Ska1",13
"GO:0000793","condensed chromosome","26/564","208/23407",7.34320136759892e-12,4.0754767590174e-10,3.6522764696742e-10,"Sgo2a/Nsl1/Nek2/Bub1b/Rad51/Cenpe/Smc2/Ncapg/Brca2/Fancd2/Aurkb/Ska2/Birc5/Ncapg2/Cdca5/Nuf2/Cenpf/Spc25/Bub1/Spdl1/Top2a/Brca1/Mis18bp1/Ccnb1/Sgo1/Ska1",26
"GO:0000786","nucleosome","17/564","88/23407",3.0855804847816e-11,1.52221970582559e-09,1.36415137221923e-09,"Hist1h2bm/Hist1h4j/Hist1h2bk/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h2bb/Hist1h3b/Hist1h4b/Irf4/Hist1h4k/Hist1h1b/Hist1h2ah/Hist1h4i/Hist1h4f/Hist1h3c",17
"GO:0000940","condensed chromosome outer kinetochore","8/564","14/23407",2.85950051382035e-10,1.26961822813624e-08,1.13778020444641e-08,"Bub1b/Cenpe/Ska2/Cenpf/Bub1/Spdl1/Ccnb1/Ska1",8
"GO:0032993","protein-DNA complex","21/564","186/23407",4.99221242518303e-09,2.01503846980115e-07,1.80579549925281e-07,"Gins1/Prim1/Hist1h2bm/Hist1h4j/Hist1h2bk/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h2bb/Hist1h3b/Hist1h4b/Irf4/Hist1h4k/Hist1h1b/Hist1h2ah/Hist1h4i/Hist1h4f/Hist1h3c/Cdc45/Pola1",21
"GO:0072686","mitotic spindle","16/564","107/23407",5.99194194887248e-09,2.21701852108282e-07,1.98680180409982e-07,"Aspm/Tpx2/Cenpe/Cdc7/Aurkb/Spag5/Espl1/Kif11/Ckap2l/Ect2/Kif23/Cdk1/Kif18b/Racgap1/Kifc1/Ska1",16
"GO:0000780","condensed nuclear chromosome, centromeric region","9/564","29/23407",1.67401430046198e-08,5.71740268773168e-07,5.12370368886338e-07,"Sgo2a/Bub1b/Cenpe/Aurkb/Nuf2/Bub1/Mis18bp1/Ccnb1/Sgo1",9
