"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016874","ligase activity","21/603","146/22727",3.11694834413897e-10,2.37199768988976e-07,1.99812793850593e-07,"Ttll4/Yars/Gars/Acsl1/Aars/Gclc/Mthfd1l/Acaca/Mthfd1/Iars/Pcx/Farsb/Fpgs/Asns/Sae1/Cars/Mars/Tars/Gart/Lars/Nars",21
"GO:0003735","structural constituent of ribosome","23/603","182/22727",6.24247557477622e-10,2.37526195620235e-07,2.0008776973888e-07,"Rpl31/Rpl37a/Mrps5/Rpl5/Rps9/Rps5/Rps19/Rpl27a/Rpl4/Rps24/Rpl35a/Rpl24/Rpl10/Rps3a1/Rps12/Rpl23a/Mrpl23/Rpl23/Rps7/Rpl30/Rpl3/Mrps18b/Rps4x",23
"GO:0019843","rRNA binding","13/603","72/22727",4.79514421326782e-08,1.2163682487656e-05,1.02464660557197e-05,"Rpl37a/Rpl5/Rps9/Rps5/Rpl4/Ncl/Utp25/Ddx21/Npm1/Rpl23a/Rpl23/Rpl3/Rps4x",13
"GO:0004812","aminoacyl-tRNA ligase activity","10/603","41/22727",8.57363197626928e-08,1.30490678678818e-05,1.09922986811537e-05,"Yars/Gars/Aars/Iars/Farsb/Cars/Mars/Tars/Lars/Nars",10
"GO:0016875","ligase activity, forming carbon-oxygen bonds","10/603","41/22727",8.57363197626928e-08,1.30490678678818e-05,1.09922986811537e-05,"Yars/Gars/Aars/Iars/Farsb/Cars/Mars/Tars/Lars/Nars",10
"GO:0140101","catalytic activity, acting on a tRNA","13/603","113/22727",9.62046789448355e-06,0.00122019601128366,0.00102787104346324,"Yars/Gars/Aars/Mettl1/Iars/Nsun2/Farsb/Cars/Mars/Alkbh1/Tars/Lars/Nars",13
"GO:0000049","tRNA binding","9/603","56/22727",1.52913069668554e-05,0.00166238351453957,0.00140036179591202,"Yars/Aars/Mettl1/Iars/Nsun2/Cars/Xpot/Mars/Alkbh1",9
"GO:0016879","ligase activity, forming carbon-nitrogen bonds","8/603","46/22727",2.51346780778156e-05,0.00231814629915829,0.00195276450126205,"Ttll4/Gclc/Mthfd1l/Acaca/Mthfd1/Fpgs/Asns/Gart",8
"GO:0030515","snoRNA binding","6/603","24/22727",3.04618436157462e-05,0.00231814629915829,0.00195276450126205,"Nhp2/Tsr1/Dkc1/Utp25/Ddx21/Bysl",6
"GO:0048027","mRNA 5'-UTR binding","6/603","24/22727",3.04618436157462e-05,0.00231814629915829,0.00195276450126205,"Rpl5/Ncl/Shmt1/Rps7/Gnl3/Cct5",6
"GO:0051082","unfolded protein binding","11/603","96/22727",4.79941601515089e-05,0.00332032326139075,0.00279698024232238,"Hspe1/Cct3/Cct6a/Ptges3/Hspd1/Hsp90b1/Npm1/Canx/Hsp90aa1/Cct5/Hspa9",11
"GO:0140098","catalytic activity, acting on RNA","22/603","326/22727",6.63247714264125e-05,0.00420609592129166,0.00354313910514783,"Polr1b/Dhx35/Noct/Yars/Snd1/Gars/Nop2/Aars/Mettl1/Mettl16/Iars/Nsun2/Dhx29/Polr2h/Farsb/Cars/Ddx21/Mars/Alkbh1/Tars/Lars/Nars",22
"GO:0015036","disulfide oxidoreductase activity","7/603","41/22727",9.1751413541734e-05,0.00532073731466077,0.00448209284823073,"Txnrd1/Pdia6/Txn1/Chchd4/P4hb/Ero1l/Pdia2",7
"GO:0003729","mRNA binding","19/603","266/22727",9.78847863406712e-05,0.00532073731466077,0.00448209284823073,"Noct/Rpl5/Serbp1/Rps5/Rbpms2/Eif4enif1/Ncl/Eif2s2/Rps3a1/Ybx3/Gemin5/Shmt1/C1qbp/Rps7/Hsp90aa1/Auh/Gnl3/Cct5/Rpl30",19
"GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase activity","4/603","11/22727",0.000139564018148145,0.00644753633610564,0.00543128795724232,"Lpgat1/Agpat5/Agpat4/Agpat3",4
"GO:0043021","ribonucleoprotein complex binding","13/603","146/22727",0.000143545254714589,0.00644753633610564,0.00543128795724232,"Rpn2/Snd1/Prpf31/Prmt7/Dhx29/Rpl35a/Pim1/Ybx3/Npm1/Gemin5/Eif5a/C1qbp/Nme1",13
"GO:0005385","zinc ion transmembrane transporter activity","5/603","20/22727",0.000144031692133766,0.00644753633610564,0.00543128795724232,"Slc39a8/Slc39a10/Slc39a11/Slc39a14/Slc39a6",5
"GO:0008135","translation factor activity, RNA binding","9/603","77/22727",0.000198802694562607,0.00820911485648591,0.00691520983138519,"Gfm1/Eif2b3/Dhx29/Eef1g/Eif2s2/Eif4e3/Eif5a/Gspt1/Eif2s3x",9
"GO:0042171","lysophosphatidic acid acyltransferase activity","4/603","12/22727",0.000204958189583748,0.00820911485648591,0.00691520983138519,"Lpgat1/Agpat5/Agpat4/Agpat3",4
