ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
best_cluster_2,best_cluster_2,228,0.4442890586072128,2.568642054587364,1.0026067776218167e-4,2.8121484814398203e-4,2.4667969135437018e-5,12372,"tags=77%, list=44%, signal=45%",Zbtb32/Lag3/Lag3/Bcat1/Bcat1/Bcat1/Bcat1/Bcat1/Bcat1/Zbtb32/Nt5dc2/Plscr1/Plscr1/Plscr1/Gm16379/Cdca7/Cdca7/Cdca7/Cdca7/Rpl11/Tpi1/Tipin/Tipin/Cdca7/Tpi1/Tipin/Tpi1/Snord52/Nt5dc2/Nt5dc2/Nudt5/Car12/Tpi1/Car12/Tpi1/Car12/Car12/Car12/Psat1/Alg8/Tpi1/Nudcd2/Syce2/Psat1/Syce2/Nt5dc2/Nt5dc2/Syce2/Cdc25a/Car12/Gm6560/Cdc25a/Nudt5/Psat1/Prim1/Iigp1/Slc19a1/Nudt5/Alg8/Iigp1/Psat1/Psat1/Cdc25a/Kpna2/Cdc25a/Alg8/Nudt5/Nudcd2/Cdc25a/Dctd/Eif2b3/Psat1/Cdc25a/Prim1/Prim1/Prim1/Alg8/Dctd/Alg8/Nudcd2/Shmt1/Kpna2/Kpna2/Nudcd2/Cdc25a/Dctd/Chek1/Taf1d/Dctd/Psat1/Kpna2/Chek1/Phgdh/Pdss1/Chek1/Pdss1/Phgdh/Tfdp1/Phgdh/Mcm3/Uchl5/Chek1/Shmt1/Iigp1/Mthfd1/Iigp1/Tfdp1/Tfdp1/Tfdp1/Tfdp1/Tfdp1/Tfdp1/Gemin6/Prim1/Nudcd2/Shmt1/Ldha/Tfdp1/Idi1/Ppa1/Shmt1/Pop1/Pdss1/Pdss1/Uchl5/Mcm3/Shmt1/Iigp1/Slc19a1/Slc19a1/Pgam1/Idi1/Pop1/Shmt1/Shmt1/Phgdh/Pgam1/Nap1l1/Nap1l1/Nap1l1/Mrpl45/Nap1l1/Pgam1/Pfas/Mcm5/Idi1/Uchl5/Chek1/Chek1/Mrpl45/Mcm5/Mcm5/Prdx3/Ldha/Ldha/Shmt1/Hat1/Pop1/Mcm3/Dkc1/Uchl5/Myc/Uchl5/Mcm5/Mcm3/Mcm3/Myc/Myc/Gnpnat1/Myc/Pop1/Hat1/Dkc1/Myc/Ldha/Alg8/Mcm5/Gnpnat1/Mars/Mars/Dkc1/Chek1/Tnf/Smyd5/Pop1/Pop1/Mars/Tnf/Mpp6/Mpp6/Mpp6/Gnpnat1/Mcm2/Nutf2/Gnpnat1/Mars/Nutf2/Mrps6/Gnpnat1/Pfas/Gnpnat1/Nap1l1/Srm/Nutf2/Rcc1/Dkc1/Ola1/Ola1/Ola1/Nutf2/Pdss1/Mcm2/Srm/Cinp/Ppid/Smyd2/Rabggtb/Rrp1b/Nup43/Nutf2/Mcm2/Taf1d/Mcm2/Mpp6/Mcm2/Ppid/Lrrc40/Mars/Rcc1/Mcm2/Smyd2/Rcc1/Thop1/Shmt1/Tmem97/Dkc1/Hspd1/Srm/Mrpl47/Usp14/Thop1/Sigmar1/Pfas/Hspd1/Shmt2/Slc25a13/Mcm2/Dis3/Nup205/Slc25a13/Taf1d/Taf1d/Taf1d/Slc7a5/Ppa1/Pdss1/Usp14/Rcc1/Cinp/Shmt2/Nup205/Wdr12/Dkc1/Pfas/Txn1/Zmynd19/Myc/Dkc1/Shmt2/Pfas/Slc25a17/Lrrc40/Lrrc40/Pa2g4/Sigmar1/Cinp/Nup43/Rabggtb/Rabggtb/Rabggtb/Iars/Nup205/Nup205/Ndufab1/Lrrc40/Ndufab1/Rabggtb/Nup205/Rabggtb/Suv39h2/Dkc1/Ldha/Lrrc40/Hax1/2700097O09Rik/Suv39h2/Nup43/Rabggtb/Nup43/Ppid/Sigmar1/Suv39h2/Mpp6/Shmt2/Shmt2/Suv39h2/Hirip3/Slc25a17/Ppid/Rrp1b/Dkc1/C1qbp/Chchd4/Hirip3/Ola1/C1qbp/Iars/Pfas/Fabp5/Ruvbl2/Ahcy/Nup205/Zmynd19/Pa2g4/Pa2g4/C1qbp/Tufm/Slc7a5/Rrp1b/Dus4l/Pfas/Mpp6/Fabp5/Gart/Smyd2/Slc25a17/Slc7a5/Cinp/Cad/Hax1/Cyp20a1/Ndufab1/Usp14/Mrpl51/Ak2/Lrrc40/Uchl5/Cinp/Rrp1b/Sigmar1/Slc25a13/Slc25a13/Mrps6/Cinp/Hirip3/Eif2b3/Eif2b3/Sigmar1/Smyd5/Ndufab1/Mrps6/Ndufab1/Smyd2/Ppid/Gart/Mthfd1/Shmt2/Hax1/Wdr12/Vdac1/Mthfd1/Mthfd1/Dis3/Ndufab1/Dis3/Iars/Iars/Shmt2/Hirip3/Ak2/Iars/Dis3/Dnajc19/Prmt7/Dnajc19/Slc25a13/Cad/Ppa1/Vdac1/Thop1/Rrp1b/Hax1/2700097O09Rik/Tuba1b/Hax1/Cyp20a1/Hax1/Mrpl51/Mrps33/Timm8a1/Bcap29/Nop16/Hax1/Hirip3/Cad/Farsb/Slc19a1/Hirip3/Dus4l/Tufm/Dnajc19/Mrpl47/Thop1/Tufm/Dnajc19/Ndufab1/Dis3/Ahcy/Usp14/Polr1b/Tuba1b/Nop16/Mtrr/Nme1/Thop1/2700097O09Rik/Mthfd1/Snord49b/Ppid/Prmt7/Iars/Ak2/Ruvbl2/2700097O09Rik/Nop16/Gart/Mtrr/Bcap29/Snord35a/Smyd5/Slc25a17/Iars/Bcap29/Hook1/Hat1/Rrp1b/Rrp1b/Hat1/Rrp1b/Cad/Prmt7/Bcap29/Rcc1/Hirip3/Farsb/Tufm/Chst2/Mtx2/Gcsh/Ppat/Farsb/Ppat/Ppat/Ruvbl2/Ruvbl2/Eef1e1/Nedd8/Cd24a/Mtx2/Uchl3/Hax1/Ppa1/Polr1b/Smyd5/Iars/Uchl5/Ran/Vdac1/Ran/Ran/Slc25a17/Usp14/Ndufa12/Tufm/Rrp1b/Set/Mthfd1/Kpna3/Vdac1/Mrrf/Denr/Polr1b/Psmd1/Nedd8/Nme1/Mtx2/Nedd8/Usp14/Prmt7/Ipo5/Ipo5/Denr/Vdac1/Znhit6/Nedd8/Ndufab1/Cd24a/Tufm/Prmt7/Ahcy/Hax1/Cad/Gas5/Gart/Cad/Gart/Nedd8/Mrpl51/Snord87/Polr1b/Timm10/Hint1/Polr1b/Gart/Timm10/Nme1/Gas5/Gas5/Uchl3/Uchl3/Slc31a1/Lap3/Denr/Hax1/Hint1/Kpna3/Mrps27/Dis3/Gas5/Rrp1b/Gart/Hspe1/Snrpd3/Gas5/Nsun2/Gas5/Gas5/Psmd1/Ipo7/Uchl3/Nsun2/Nop2/Gcsh/Cad/Rrp1b/Gas5/Npm1/Ddx1/Gas5/Ruvbl2/Mrps27/Hspe1/Smyd5/Ppp1r14b/Psmd14/Nsun2/Nop2/Psmd1/Gas5/Mrps27/Hdgf/Hdgf/Pdia6/Psmd7/Wdr75/Psmd7/Egr2/Wdr75/Usp14/Adk/Mtrr/Mtrr/Cad/Znhit6/Nsun2/Znhit6/Nop58/Ppp1r14b/Smyd5/Ifrd2/Psmd1/Egr2/Egr2/Smyd5/Parl/Tcp1/Snrpd3/Wdr12/Cnih4/Ppp1r14b/Rrp1b/Phb2/Ppp1r14b/Usp14/Set/Lap3/Pus7/Wdr75/Wdr75/Ipo7/Snrpd3/Ipo7/Cnn3/Taf1d/Ipo7/Nop58/Ranbp1/Farsb/Mettl1/Phb/Rpl23a/Tcp1/Ranbp1/Set/Set/Rpp40/Rpp40/Slc25a17/Mrrf/Plac8/Cnn3/Hdgf/Rpl23a/Nop58/Rrp1b/Eif2s2/Eif2s2/Lsm2/Nop58/Psmg2/Eif2s1/Mrrf/Adk/Chchd4/Lap3/Tcp1/Set/Smyd5/Set/Hook1/Hdgf/Npm1/Nsun2/Ifrd2/Psmg2/Psmg2/Psmd1/Npm1/Nars/Cnn3/Rps27l/Rps27l/Znhit6/Cnih4/Wdr12/Rps27l/Cnn3/Cnn3/Cnn3/Lap3/Nars/Nars/Ifrd2/Nop58/Ifrd2/Rpl35/Ranbp1/Ifrd2/Mthfd1/Hspa9/Rpl35/Pold2/Nop58/Nars/Nars/Hspa9/Nop58/Nars/Nars/Taf1d/Pus7/Mphosph6/Taf1d/Nme2/Nop58/Cnih4/Ranbp1/Psmd1
best_cluster_3,best_cluster_3,188,0.8088264932517393,4.673799789797261,1.0063399416322834e-4,2.8121484814398203e-4,2.4667969135437018e-5,4530,"tags=85%, list=16%, signal=73%",Cenpf/Kif15/Kif15/Tpx2/Asns/Kif15/Ttk/Kif18b/Espl1/Mcm10/Aspm/Espl1/Asns/Asns/Kif14/Ncapg/Ttk/E2f8/Rad51/Cenpf/Espl1/Rad51/Ttk/Kif18b/Kif15/Kif15/Hmmr/Aurkb/Ccnb1/Mcm10/Ttk/Ttk/Espl1/Espl1/Rad54l/Kif15/Fancd2/Aurkb/Kif15/Kif15/Hist1h1b/Tpx2/Tpx2/Esco2/Tpx2/Tk1/Mcm10/Mcm10/Bub1/Bub1/Tk1/E2f8/E2f8/BC030867/BC030867/Tk1/Ncapg/Cenpf/Aurkb/Asns/Aurkb/Aurkb/Mcm10/Cenpe/Ncapg/Melk/Tpx2/Melk/Tk1/Ccnb1/Ncapg/Rad51ap1/Depdc1a/Ect2/Depdc1a/BC030867/Mcm10/Rad54l/Rad54l/Espl1/Rad51ap1/Mcm10/Kif15/Kif14/Ccnb1/Espl1/Cenpe/Ncapg/Kif15/Kif14/Kif14/Kif14/Hmmr/Hmmr/Rad54b/Kif14/Espl1/Cenpf/Rad51/Fignl1/Fignl1/Fignl1/Melk/Mcm10/Nuf2/Kif15/Bub1/Aurkb/Mcm10/Cenpe/Clspn/Cenpe/Rad51/Rad51/Nuf2/Fignl1/Mastl/Nuf2/Tk1/Ncapg/Espl1/Esco2/Aspm/Aspm/Ccnb1/Ccnb1/Neil3/Aurkb/Rad51/Fignl1/Rad54l/BC030867/Fignl1/Neil3/Kntc1/Pbk/Ccna2/Tk1/Bub1/Esco2/Kif15/Aspm/Rad54l/Kif15/Kntc1/Ccna2/E2f8/Tpx2/Aurkb/Clspn/Neil3/Tk1/Mastl/Spc24/Top2a/Neil3/Prc1/Mcm10/Clspn/Top2a/Anln/Kntc1/Esco2/Ccna2/Nsl1/Kif11/Nuf2/Kntc1/Cenpe/Trip13/Uhrf1/Top2a/Melk/Pbk/Kif11/Hist1h2bb/Rad51ap1/Bub1/Trip13/Ccna2/Bub1b/Cenpf/Rad54b/Bub1b/Rad51ap1/Uhrf1/Hist1h2ab/Pbk/Kif20a/Slc43a3/Prc1/Cenph/Top2a/Cdc25c/Kntc1/Rad51ap1/Bub1b/Ckap2l/Kif15/Neil3/Birc5/Clspn/Birc5/Rad51/Rrm2/Trip13/Ect2/Nsl1/Top2a/Rad51ap1/Cdc25c/Prc1/Clspn/Cdca2/Anln/Cenph/Kntc1/Hist1h2af/Slc43a3/Rrm2/Anln/Hist1h2bm/Cdca2/Prr11/Cdca2/Cdca2/Anln/Ccna2/Top2a/Rrm2/Bub1b/Top2a/Rad51ap1/Spc25/Slc43a3/Ect2/Uhrf1/Uhrf1/Spag5/Ect2/Slc43a3/Slc43a3/Gen1/Shcbp1/Shcbp1/Spc25/Spc25/Spc25/Spc25/Pask/Pask/Shcbp1/Cdca2/Gm12387/Hist1h4b/Spag5/Prc1/Prc1/Scd2/Pask/Ncapg2/Smc2/Scd2/Spc25/Prc1/Cdc25c/Cdc25c/Slc43a3/Pask/Rad51ap1/Pask/Dlgap5/Prc1/Clspn/Ccne1/Spag5/Ect2/Ect2/Cenpp/Cenpp/Gen1/Ube2c/Hist1h3g/Rad54b/Shcbp1/Ccnb1/Ezh2/Cenpn/Spag5/Zwilch/Gen1/Clspn/Rad54b/Gen1/Hist1h4f/Kif20a/Kif20a/Ezh2/Ube2c/Smc2/Anln/Kif20a/Spc25/Zwilch/Cdc25c/Prc1/Hist1h2an/Hist1h4i/Gen1/Fancd2/Smc2/Ezh2/Bard1/Ccne1/Brca2/Ezh2/Nek2/Ezh2/Esco2/Prc1/Shcbp1/Nusap1/Nek2/Rad54b/Spc24/Ezh2/Cenpn/Cep55/Cep55/Cep55/Cenpn/Ncapg2/Hist1h2ao/Shcbp1/Exo1/Exo1/Shcbp1/Anln/Gen1/Cdca5/Cdca5/Pask/Exo1/Brca1/Fancd2/Brca1/Spag5/Zwilch/Rad54b/Nusap1/Cdc6/Spag5/Cdca5/Chaf1a/Spc24/Zwilch/Aspm/Tube1/Ezh2/Nek2/Zwilch/Ccnf/Ezh2/Ect2/Tube1/Ezh2/Brca1/Hist1h2bg/Dna2/Spag5/Tube1/Zwilch/Spc24/Nek2/Tube1/Cenpn/Ccdc34/Kif23/Nusap1/Fancd2/Ccnf/Fancd2/Zwilch/Spag5/Zwilch/Brca1/Brca1/Chaf1a/Smc2/Cenpn/Cep55/Ezh2/Arhgap19/Exo1/Ncapg2/Tube1/Wee1/Ncapg2/Dlgap5/Hist1h1a/Brca2/Brca1/Adap1/Kntc1/Nusap1/Ccne1/Exo1/Chaf1a/Tube1/Ccnf/Prc1/Dlgap5/Cenpm/Cenpm/Hist1h2ak/Exo1/Adap1/Kif23/Fancd2/Brca2/Cdc25c/Kif23/Cenpk/Ccnf/Ccnf/Dlgap5/Cenpm/Ccnf/Ccnf/Tyms/Dlgap5/Pola1/Tyms/Dna2/Ccnf/Oip5/Ccne2/Plk1/Brca1/Dna2/Ccnf/Tyms/Dlgap5/Dlgap5/Ccdc34/Tyms/Hist1h4m/Oip5/Plk1/Tyms/Exo1/Kif23/Gins1/Ccnb2/Cdc6/Phf19/Ccdc34/Dna2/Brip1/Gins1/Phf19/Ccdc34/Kif23/Adap1/Brca2/Cenpk/Brca2/Gins1/Ccdc34/Brca2/Gins1/Pole/Pole/Brca2/Brca2/Lig1/Phf19/Plk1/Pola1/Cenpk/Cdc6/Cdc6/Pole/Cenpk/Lig1/Cenpk/Arhgap11a/Cks1b/Arhgap11a/Mybl2/Fanci/Stmn1/Stk39/Kif23/Lig1/Phf19/Dtl/Dtl/Atad5/Kif20b/Lig1/Lig1/Lig1/E2f1/Kif20b/Dlgap5/Fanci/Dtl/Stmn1/Cenpm/Stk39/Kif20b/Kif20b/E2f1/Stmn1/Cenpm/Kif20b/Hist1h3a/Plp2/Pola1/Ccne2/Zwilch/Kif23/Ccne2/Kif20b/Kif20b/Pole/Atad5/Pola1/Kif23/Gtse1/Plp2/Mybl2/Pole/Adap1/Brca2/Lig1/Mybl2/Fanci/Hist1h4h/Gtse1/Hist1h4d/Dhfr/Kif20b/Cks1b/Lig1/Fanci/Kif23/Plp2/Dna2/Stk39/Hist1h2bh/2610318N02Rik/Cks1b/Ccne2/Havcr2/Havcr2/Pole/Ccne2/2610318N02Rik/Atad5/Tcf19/Tcf19/Pole/Tcf19/Stmn1/Ccne2/Stk39/Stk39/Wdr76/Tcf19/Brca2/Mybl2/Kif18a/E2f3/Kif18a/Zfp367/Mybl2/Plk4/Ccne1/E2f3/Kif23/E2f3/Zfp367/Fanci/Dut/Kif20b/Zfp367/Gmnn/Gmnn/Wdr76/Kif23/Alms1/Ercc6l/Fancd2/Cenpk/2610318N02Rik/2610318N02Rik/Wdr76/Wdr76/Tacc3/Ccne1/2610318N02Rik/Ncapd2/Tacc3/2610318N02Rik/Dut/Ncapd2/Dut/Plk4/Dscc1/Dscc1/Rbbp8/Ncapd2/Kif18a/2610318N02Rik/Dtl/Eme1/Tacc3/Eme1/Mcm6/Ckap2/Ccdc34/Tacc3/Brca2/Tacc3/Alms1/Dscc1/Brca2/H2afx/Incenp/Plk4/Plk4/Prim2/Asf1b/Ncapd2/Ncapd2/Foxm1/Ckap2/Hist1h2bc/Plk4/Alms1/Alms1/Alms1/Mcm6/Tacc3/Incenp/Asf1b/Incenp/Foxm1/Incenp/Incenp/Hist1h2be/Hist1h2be
best_cluster_10,best_cluster_10,42,0.4797857615408995,2.4645910968495515,1.2113870381586917e-4,2.8121484814398203e-4,2.4667969135437018e-5,2984,"tags=37%, list=11%, signal=33%",Zeb2/Zeb2/Kcnk5/Zbtb7b/Zbtb7b/Slamf7/Zbtb7b/Zbtb7b/Slamf7/Zeb2/Zeb2/Zeb2/Zbtb7b/Zeb2/Zeb2/Zeb2/Zeb2/Tbx21/Kcnk5/Soat2/Soat2/Zeb2/Zeb2/Dennd5a/Rnf216/Rnf216/Il12rb2/Dennd5a/Dennd5a/Cd44/Dennd5a/Dennd5a/Rnf216/Dennd5a/Lrrk1/Nebl/Lrrk1/Dgkh/Dennd5a/Cd44/Cd44/Atp2b4/Nebl/Dgkh/Nebl/Rnf216/Rnf216/Tmem163/Tmem163/Dgkh/Dennd5a/Nebl/Dgkh/Fam129a/Fam129a/Atp2b4/Il12rb2
best_cluster_9,best_cluster_9,32,0.5386711639953319,2.60578003787979,1.2810658467845247e-4,2.8121484814398203e-4,2.4667969135437018e-5,2222,"tags=39%, list=8%, signal=36%",Galnt3/Lamc1/Raph1/E2f2/Lamc1/Galnt3/Galnt3/Lamc1/Ryk/Lamc1/Ryk/E2f2/Cd80/Raph1/Cd80/Galnt3/Raph1/Ryk/Ryk/Ryk/Lamc1/Raph1/Racgap1/Racgap1/Racgap1/Racgap1/Racgap1/Racgap1/Racgap1/H1f0/Racgap1/Lgals3/Racgap1/Raph1/Raph1/Raph1/Lgals3/Lgals3/Prdm1/Prdm1/Racgap1/Racgap1
best_cluster_6,best_cluster_6,20,0.7048817289624034,3.1904333282090596,1.3588802826470988e-4,2.8121484814398203e-4,2.4667969135437018e-5,3148,"tags=68%, list=11%, signal=61%",Plek/Zeb2/Zeb2/Plek/Ttc39c/Klrk1/Klrk1/Zeb2/Zeb2/Zeb2/Zeb2/Klrk1/Zeb2/Zeb2/Zeb2/Ttc39c/Klrk1/Klrk1/Plek/Dapk2/Ttc39c/Zeb2/Anxa2/Zeb2/Ptprj/Ttc39c/Ttc39c/Ptprj/Ptprj/Anxa2/Osbpl3/Anxa2/Osbpl3/Osbpl3/Dapk2/Dapk2/Osbpl3/Osbpl3/Dapk2/Anxa2/Anxa2/Fasl/Entpd1/Entpd1/Entpd1/Osbpl3/Fasl/Lgals1/Lgals1
best_cluster_1,best_cluster_1,22,0.811895001984045,3.471103058528217,1.4060742407199101e-4,2.8121484814398203e-4,2.4667969135437018e-5,1254,"tags=67%, list=4%, signal=64%",Il2ra/Il2ra/Il2ra/Gzmb/Lif/Cd200/Lif/Irf8/Lif/Cd200/Cd200/Cd200/Cd200/Cd200/Cd200/Irf8/Cd200/Irf8/Irf8/Irf8/Il2/Ifng/Serpine2/Hk2/Cd200/Serpine2/Hk2/Xcl1/Hk2/Hk2/Ifng/Ccl3/Serpine2/Serpine2/Serpine2/Sema7a/Sema7a/Il3
JJM_CirculatingSignature,JJM_CirculatingSignature,57,-0.4109954719824398,-2.6760908384693143,7.446016381236039e-4,0.0011514104778353482,1.0100091910836387e-4,7790,"tags=61%, list=28%, signal=44%",Icam2/Flna/Gzmm/Nod1/Icam2/Flna/Flna/B3gnt5/Flna/Traf3ip3/Arhgap26/Flna/Ypel1/St3gal1/Ypel1/Nod1/Icam2/Ypel1/Flna/Arhgap26/Il17ra/B3gnt5/Il17ra/St3gal1/Bin2/Gab3/Arhgap26/Slamf6/Arhgap26/Ypel1/Traf3ip3/B3gnt5/Flna/Slamf6/Slamf6/Lfng/Klhdc1/Lfng/Slamf6/Slamf6/Klhdc1/Gzmm/Icam2/Fam49a/Fgf13/Tlr1/Bin2/Icam2/Fgf13/Fgf13/Tlr1/Lfng/Fgf13/Apobec2/Nod1/Klhdc1/Fam49a/Arhgap26/Klhdc1/Cmah/Fam49a/Tlr1/Nsg2/Sfxn3/Cmah/Cmah/Cmah/Sfxn3/Ehd3/Gramd4/Gramd4/Sfxn3/Sfxn3/Gramd4/Cmah/Sfxn3/Fgf13/St3gal1/Sh3bp5/Sh3bp5/Sh3bp5/Sh3bp5/Ehd3/Gramd4/Nsg2/Tmem71/Rap1gap2/S1pr4/Rap1gap2/Rap1gap2/Dgka/Dgka/Rasa3/Rasa3/Rasa3/Prss12/Rasa3/Dgka/Rap1gap2/Tcf7/Tcf7/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasgrp2/Rasa3/Gab3/Rasa3/Rasgrp2/Rasgrp2/Rasgrp2/Pde2a/S1pr1/Pde2a/Pde2a/Pde2a/Pde2a/Pde2a/Klf2
best_cluster_4,best_cluster_4,56,-0.6678358770108757,-4.379755597954402,8.278145695364238e-4,0.0011514104778353482,1.0100091910836387e-4,5308,"tags=70%, list=19%, signal=57%",Il6st/Il6st/Eif5/Eif5/Ephx1/Eif5/Ephx1/Il6st/Eif5/Eif5/Usp28/Il6st/Cd72/Tlr1/Usp28/Tlr1/Usp28/Cnr2/Pmepa1/Pmepa1/Mx2/Ephx1/Usp28/Mx2/Mx2/Actn1/Trib2/St8sia1/Rnf213/Eif5/Cnr2/Cd72/Tlr1/Cd72/Trib2/Nsg2/Rapgef4/Cd72/Usp28/Rapgef4/Trib2/Actn1/Actn1/Actn1/Actn1/Bach2/Rnf213/Trib2/Usp28/Cd72/Atp1b1/Slc16a5/Slc16a5/Ifit1/Pacsin1/Pacsin1/Boll/Rsad2/Slc16a5/St8sia1/St8sia1/Slc16a5/Atp1b1/Actn1/Ddx60/Actn1/Cd72/Atp1b1/Cd72/Atp1b1/H2-Ob/H2-Ob/Als2cl/Als2cl/Slc16a5/Pacsin1/Boll/Nsg2/Pacsin1/Rapgef4/Pacsin1/Rapgef4/Slc16a5/Rsad2/Rsad2/Rapgef4/Il6ra/Pacsin1/Als2cl/Als2cl/Pacsin1/Als2cl/Rapgef4/Il6ra/Boll/Boll/H2-Ob/H2-Ob/Ifngr2/Pecam1/Pecam1/Ifngr2/Ifngr2/Pecam1/Pacsin1/Mx2/Pecam1/Boll/Rapgef4/H2-Ob/Pecam1/Slc6a19/Slc6a19/Rapgef4/Ddx60/Ddx60/Rtp4/Slc6a19/Itgae/Slfn5/Gm6545/Ddx60/Oasl2/Rtp4/Oasl2/Oasl2/Oasl2/Rtp4/Irf7/Irf7/Rtp4/Oasl2/Itgae/Slfn5/Oasl2/Irf7/Oasl2/Ccr9/Irf7/Irf7/Irf7/Irf7/Irf7/Irf7/Irf7/Oasl2/Ifit3/Oasl2/Oas2/Oas2/Oas2/Ccr9/Ccr9/Ccr9/Ccr9
best_cluster_7,best_cluster_7,61,-0.6287123086912362,-4.165493955547381,8.635578583765112e-4,0.0011514104778353482,1.0100091910836387e-4,5498,"tags=62%, list=19%, signal=50%",Abca1/Dirc2/Zhx2/Parp8/Parp8/Mgrn1/Dzip1/Dzip1/Dzip1/Dzip1/Ssh2/Pdk2/Fam102a/Pdk2/Dzip1/Evl/Evl/AB124611/Dzip1/AB124611/AB124611/Ssh2/Parp8/Ssh2/Ssh2/Pdk2/Hs3st3b1/Map4k3/Gm1966/Dzip1/Gramd4/Gramd4/Gramd4/Cyp2d22/Sh3bp5/Cd55/Ssh2/Gm8995/Sh3bp5/Rnf144a/Gm8995/Sh3bp5/Sh3bp5/Ttc28/Adrb2/Gramd4/Cxcr4/Slc12a7/Rnf144a/Rnf144a/Cd55/Btbd11/Slc12a7/Pdk2/Tsc22d3/Slfn1/Btbd11/Rnf144a/Rnf144a/Cxcr4/Tsc22d3/Slc12a7/Slc12a7/Cyp2d22/Cyp2d22/Cd55/Vipr1/Slc12a7/Neurl3/Neurl3/Vipr1/Cd55/Slc12a7/Btbd11/Cd55/Slc12a7/Apol7b/Slc12a7/Txk/Ttc28/Prss12/Btg1/Btg1/Btbd11/Slc12a7/Btbd11/Gpr183/Vipr1/Apol7b/Scml4/Scml4/Scml4/Pik3ip1/Scml4/Scml4/Apol7b/Vipr1/Btbd11/Tcf7/Tcf7/Btbd11/Pik3ip1/Pik3ip1/Nr1d2/Gpr183/Pik3ip1/Btbd11/Tsc22d3/Pik3ip1/Scml4/Tsc22d3/Tsc22d3/Txk/Txk/Txk/Txk/Txk/Scml4/Vipr1/Scml4/Nr1d2/Pik3ip1/Nr1d2/Pik3ip1/Apol7e/Pik3ip1/Rnf144a/Apol7e/Pik3ip1/Nr1d2/Ttc28/Ttc28/Rnf144a/Pde2a/Cyp2d22/Pde2a/Pde2a/Pde2a/Pde2a/Cd7/Cd7/Pde2a
JJM_TrmSignature,JJM_TrmSignature,88,-0.31712147812092006,-2.161080165321819,0.001076426264800861,0.0012917115177610331,1.1330802787377484e-4,4032,"tags=37%, list=14%, signal=32%",Dnajb4/Ehd1/Ehd1/Isg20/H3f3b/H3f3b/Isg20/Isg20/Nr4a2/Tgif1/Isg20/Tgif1/Plk3/Plk3/Plk3/Dnaja1/Tiparp/Tgif1/H3f3b/Dgat1/Tiparp/Tiparp/Dnaja4/Dnaja4/Dnaja4/Tgif1/Mxd1/Tgif1/Tgif1/Tgif1/Il21r/Il21r/Coq10b/H3f3b/Stk17b/Prdx6/Prdx6/Tgif1/Prdx6/Prdx6/Prdx6/Stk17b/Prdx6/Mxd1/Prdx6/Dgat1/Coq10b/Zfp36l1/Dgat1/Mxd1/Dgat1/Mxd1/Nfkbie/Nfkbie/Nfkbie/Dgat1/Zfp36l1/Dgat1/Zfp36l1/Dgat1/Stk17b/Tgif1/Zfp36l1/Kdm6b/Junb/Kdm6b/Fosl2/Btg2/Neurl3/Fosl2/Neurl3/Coq10b/Fosl2/Jun/Junb/Qpct/Qpct/Sik1/Ppp1r15a/Sik1/Ppp1r15a/Ppp1r15a/Sik1/Per1/Per1/Trp53inp2/Tnfaip3/Per1/Hpgds/Tnfaip3/Tnfaip3/Tnfaip3/Tnfaip3/Dusp1/Tnfaip3/Trp53inp2/Trp53inp2/Dusp1/Dusp1/Dusp1/Dusp1/Hpgds/Hpgds/Fos/Fos/Fos
