ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Act48h_up,Act48h_up,11,0.6480263157894737,3.4012285316118813,1.240079365079365e-4,0.0013698630136986301,6.655204924851645e-4,145,"tags=100%, list=46%, signal=61%",Batf3/Batf3/Batf3/Batf3/Lif/Lif/Lif/Hemk1/Hemk1/Gadd45g/Fam71b/Hemk1/Hemk1/Hemk1/Fam71b/Hemk1/Sh2d1a/Sh2d1a/Sh2d1a/Sh2d1a/Sh2d1a/Mfhas1/Mfhas1/Mfhas1/Egln3/Eif4enif1/Eif4enif1/Atf3/Atf3/Atf3/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Rnf19b/Rnf19b
TE_up,TE_up,1,-0.9394904458598726,-2.366401963312076,2.1074815595363542e-4,0.0013698630136986301,6.655204924851645e-4,21,"tags=100%, list=7%, signal=95%",Klrd1/Klrd1/Klrd1/Klrd1
NAV_up,NAV_up,12,-0.5907590759075908,-3.413533836697223,3.475842891901286e-4,0.0015061985864905573,7.317563982950075e-4,137,"tags=100%, list=43%, signal=63%",Ift80/Ift80/Ift80/Ift80/Fyb/Fyb/Fyb/Rapgef4/Rapgef4/Rapgef4/Rapgef4/Zfp773/Rgcc/Fyb/Hsd17b11/Cmah/Cmah/Cmah/Cmah/Cmah/Nsg2/Slc6a19/Ipcef1/Ipcef1/Ipcef1/Ipcef1/Ipcef1/Ipcef1/Rflnb/Itgae/Itgae
Act48h_dn,Act48h_dn,17,-0.46884060063410815,-2.739809074194933,6.856359273225917e-4,0.002228316763798423,0.0010825830431409344,104,"tags=91%, list=33%, signal=69%",Sp100/Itm2b/Runx1/Ripor2/Mndal/Gramd3/Runx1/Runx1/Gramd3/Gramd3/Gramd3/Runx1/Itgb3/S1pr1/Itgb3/Ifi209/Ifi209/Sla2/Epsti1/Sla2/Epsti1/Tmem71/Ms4a4c/Ms4a4c/Art2b/Klrd1/Klrd1/Klrd1/Klrd1/Ms4a4c/Klrd1
DP_dn,DP_dn,2,0.5774658429054542,1.9590267233438001,0.006163056876210601,0.016023947878147562,0.007784913948897601,118,"tags=91%, list=37%, signal=59%",Inpp4b/Inpp4b/Inpp4b/Inpp4b/Inpp4b/Inpp4b/Inpp4b/Inpp4b/Inpp4b/Inpp4b
MEM_dn,MEM_dn,5,0.4018680694964889,1.82679180607227,0.013802315227070348,0.029714285714285717,0.014436090225563912,195,"tags=96%, list=62%, signal=40%",Prkca/Prkca/Prkca/Prkca/Mfhas1/Mfhas1/Mfhas1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Eif4enif1/Ift80/Ift80/Ift80/Ift80/Ift80/Fyb/Fyb/Fyb
EXH_dn,EXH_dn,10,0.39897372413000026,1.7760331090386512,0.016,0.029714285714285717,0.014436090225563912,39,"tags=39%, list=12%, signal=37%",Ccr4/Ccr4/Hemk1/Hemk1/Ccr4/Hemk1/Hemk1/Hemk1/Hemk1
NAV_dn,NAV_dn,13,0.2832604337542832,1.4761909095838968,0.0872286589426022,0.1417465707817286,0.06886473074415964,107,"tags=58%, list=34%, signal=43%",Irf8/Irf8/Irf8/Irf8/Irf8/Sh2d1a/Tbx21/Sh2d1a/Cish/Sh2d1a/Sh2d1a/Tbkbp1/Sh2d1a/Cish/Tbkbp1/Ptger4/Ptger4/Cish/Cish/Cish/Ptger4
EXH_up,EXH_up,6,-0.44569005700571196,-1.3745363722287531,0.12633604104318086,0.1824853926179279,0.08865687090749534,15,"tags=25%, list=5%, signal=24%",Serpina3g
TE_dn,TE_dn,4,0.4395591753555005,1.308935136094304,0.1609747092486616,0.20926712202326012,0.10166823742020734,55,"tags=50%, list=17%, signal=42%",Bcl2/Bcl2/Izumo1r/Izumo1r
EE_up,EE_up,1,-0.659235668789809,-1.132134072040269,0.3192307692307692,0.37727272727272726,0.18329039381670958,109,"tags=100%, list=35%, signal=66%",Pla2g16
MEM_up,MEM_up,10,0.22212648331749643,0.921145789644101,0.5447014152571625,0.5855945730247406,0.2844993877043274,69,"tags=37%, list=22%, signal=31%",Klf6/Klf6/Slc14a1/Klf6/Slc14a1/Slc14a1/Tbx21
EE_dn,EE_dn,1,-0.7101910828025478,-0.946076854303963,0.5855945730247406,0.5855945730247406,0.2844993877043274,93,"tags=100%, list=30%, signal=71%",
