"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSE00000098340",21.5727942649898,-0.528741366759242,0.925632811506581,-0.571221504020207,0.567849503226595,0.974591592159382
"ENSMUSE00000098418",1.64229825110255,0.00963699491553209,2.41347996698795,0.00399298732425741,0.996814065528558,NA
"ENSMUSE00000099322",1.51046281564668,0.189045697025323,2.20545293318682,0.0857174026163223,0.931691067757985,NA
"ENSMUSE00000099726",2.06424446990272,-0.0818909523193165,1.66509956604206,-0.0491808141623455,0.960775200842573,NA
"ENSMUSE00000099822",4.12282458159019,0.0665773183951213,1.29814175376529,0.0512866319891586,0.959097120213537,0.998106181359062
"ENSMUSE00000100732",7.58578122527437,0.485282962107145,1.14184896192165,0.424997506929857,0.670838492148897,0.981489582978569
"ENSMUSE00000100813",5.49432445722689,-1.53305683071582,1.42950019163762,-1.07244254997935,0.283521304980821,0.932752628690119
"ENSMUSE00000101796",30.6038911747019,-0.557043796111352,0.617056412442191,-0.902743711724312,0.366661931369263,0.948699371881307
"ENSMUSE00000102087",12.9909327201253,-1.41630317292824,0.652609532618473,-2.17021526983461,0.0299905418351232,0.45618302211422
"ENSMUSE00000102166",2.61932455550608,-0.544948602987166,1.22040909298682,-0.446529451573868,0.655214843227008,NA
"ENSMUSE00000102451",2.07594064231593,2.35822413774333,1.8905792107409,1.24735537360488,0.212267221971114,NA
"ENSMUSE00000102616",12.2481716383865,0.948672070411388,0.791253040434479,1.19894903644284,0.230547762790514,0.913418276593507
"ENSMUSE00000102813",1.2776761923889,-0.730544448231884,2.16186141723815,-0.337923810659973,0.735420603666518,NA
"ENSMUSE00000104604",1.01532951869489,0.00963698936268825,2.6414534887423,0.00364836609986148,0.997089031474543,NA
"ENSMUSE00000104993",1.2384723073425,1.88817931809037,2.51967930212939,0.749372873164718,0.453632496297841,NA
"ENSMUSE00000105193",167.506294604231,-0.260874896224965,0.338437624163943,-0.770821201896259,0.440812918368954,0.965919500463496
"ENSMUSE00000105272",5.23661127164056,0.792804906194269,0.840466934227068,0.943291013492838,0.345532071160661,0.936450145920747
"ENSMUSE00000105392",1.02407283408689,1.63041725622236,2.39841194001994,0.679790335020101,0.496637227261601,NA
"ENSMUSE00000105758",3.83444352573616,1.78742653012874,1.19357575914185,1.497539235728,0.134253004299081,0.829971251577536
"ENSMUSE00000106455",2.31220994988591,-2.32804981739199,2.01801153942868,-1.15363553275374,0.248649624266449,NA
"ENSMUSE00000107004",1.05538351994669,0,2.66546189839019,0,1,NA
"ENSMUSE00000107752",5.74355432006029,0.167853269649958,1.11462132434857,0.150592193046421,0.880297420203913,0.993497454103825
"ENSMUSE00000107902",0.60323235471109,0.00963696422428264,3.49203012072857,0.00275970249141837,0.997798078784645,NA
"ENSMUSE00000109894",2.28644961365946,0.982466116558719,1.52784589974692,0.643040058373333,0.520198107358594,NA
"ENSMUSE00000110147",3.10583527274273,1.06855527649193,1.46252286969501,0.730624661421373,0.465008444365834,NA
"ENSMUSE00000110203",35.1280151930168,0.50312750038757,0.524153051320988,0.959886619222327,0.337112281301388,0.936186004037
"ENSMUSE00000110548",14.7403826313246,0.323360473133324,0.703435411560542,0.459687510493626,0.645740535518534,0.979385944514803
"ENSMUSE00000111715",1.68371615507673,-1.19596739785182,1.51174752371359,-0.791115830581251,0.42887640210224,NA
"ENSMUSE00000112192",1.09933218363859,-1.20490957647135,2.43330742336659,-0.495173591672319,0.620477590127747,NA
"ENSMUSE00000112455",0.579779785498527,-0.952154538863738,3.28326258082413,-0.29000255551438,0.771814282559998,NA
"ENSMUSE00000112784",1.73681704650714,-1.09819677121321,1.88626391646735,-0.58220737916142,0.560427003526836,NA
"ENSMUSE00000113370",1.54495283523435,0.458497575513975,1.96232276993806,0.233650438418164,0.815256367135567,NA
"ENSMUSE00000113557",2.07546544326915,-0.23039275277583,2.08735824471106,-0.110375280984756,0.912111756249722,NA
"ENSMUSE00000113576",2.67957555648057,1.10077219098318,1.41272802179004,0.77918196142837,0.435872534500001,NA
"ENSMUSE00000113742",2.20574317827521,-0.127360833376432,1.5711110761836,-0.0810641814618254,0.935390910958528,NA
"ENSMUSE00000114502",14.491495803869,-0.506564027442895,0.77467471708331,-0.653905460281619,0.513172715872791,0.96669069941673
"ENSMUSE00000114939",1.43992062745562,0.272837598667101,1.34834412766264,0.202350121952966,0.839643018657592,NA
"ENSMUSE00000115069",2.37604579921507,-1.3040046540531,1.43009802425143,-0.911828862035989,0.361858814366351,NA
"ENSMUSE00000115463",1.94994870748259,-0.384429039095106,1.66134762428076,-0.231395906236983,0.817007245224432,NA
"ENSMUSE00000115681",2.96694203004508,-0.345400295711399,1.92457615304557,-0.179468240404421,0.857570052923773,NA
"ENSMUSE00000116533",62.5215975425027,-0.663621053938285,0.463695996688807,-1.43115545244539,0.152385667600453,0.845448143153754
"ENSMUSE00000117048",3.48835689118111,-1.21196931911071,1.93968123734851,-0.624829119225506,0.532083216886984,0.968695886023738
"ENSMUSE00000117198",0.854178879314529,-2.52935825661225,2.94574315650941,-0.858648606557212,0.390534412710759,NA
"ENSMUSE00000117220",0.997915576189624,1.80036567782103,2.93880430378942,0.612618429712915,0.540128669316493,NA
"ENSMUSE00000118134",0.540076758826848,-0.992045025282384,3.10595776193135,-0.319400681310459,0.749422694250613,NA
"ENSMUSE00000119116",108.14996138224,0.163986702536918,0.293260462419719,0.559184491437574,0.576035816193135,0.974591592159382
"ENSMUSE00000119284",5.07724751173513,-0.577313333257491,0.999884106643189,-0.577380247792564,0.563682614436481,0.974591592159382
"ENSMUSE00000119699",2.75579368702649,-1.51734143466442,1.89610089753878,-0.800242981074478,0.423570031720443,NA
"ENSMUSE00000120474",0.64823473068437,-0.671469915790885,3.80005391386153,-0.176700102422639,0.859743960419597,NA
"ENSMUSE00000121140",1.99632376969469,1.49101663312214,1.89708879955599,0.785949837177419,0.431896875669864,NA
"ENSMUSE00000123264",1.81031450604414,-2.86532478330776,2.44221999543075,-1.17324597647575,0.24069717960864,NA
"ENSMUSE00000123469",1.23687114243716,-1.90015313347647,2.49443115555625,-0.761758098331938,0.446204393025921,NA
"ENSMUSE00000123611",11.675101666649,0.0250363577254181,0.670283346089363,0.037351901806136,0.970204422682264,0.998106181359062
"ENSMUSE00000124868",1.85793868858024,-0.927486978612329,2.15966626839205,-0.429458473369998,0.667589608239358,NA
"ENSMUSE00000125819",2.48479552231155,-0.680192748728575,1.59149454975063,-0.427392446197917,0.669093508395058,NA
