,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSE00000219801,42.0638978319389,-2.82817954571679,0.761764496916224,-3.71266914796611,0.00020508490800971,0.0647189373990641
ENSMUSE00000265878,13.3382808855028,-3.62337371532983,0.987135331147161,-3.67059470064663,0.000241986791817694,0.0712731764167048
ENSMUSE00000386788,19.9672893444909,-4.24335869768227,1.19282803154173,-3.55739350977336,0.000374552861815081,0.0936271629529191
ENSMUSE00000424736,8.60816360490626,-3.19251154892946,1.05060091340591,-3.03874811852178,0.00237563388276173,1
ENSMUSE00000443592,20.2088043129405,-1.68381222869351,0.736273535399019,-2.28693841043869,0.0221994182490245,0.999905437934732
ENSMUSE00000484226,23.7935820018579,-1.77206498816951,0.629021286784191,-2.81717809142679,0.00484476533926515,0.690457202221724
ENSMUSE00000573827,69.4091353239365,-1.63077110207639,0.426676885831816,-3.82202822845013,0.000132358533769179,0.0449815386301719
ENSMUSE00000574464,15.3850468275011,-1.62530500636804,0.706489079168516,-2.30053804693046,0.0214177563468311,0.999905437934732
ENSMUSE00000625375,8.9916715788904,-4.94027138437241,1.256888767958,-3.9305557582463,8.47497359521721e-05,1
ENSMUSE00000676969,20.1490738135884,-2.42795741769105,0.836912392278988,-2.90108909856085,0.00371868126828421,0.58675478011713
ENSMUSE00000700740,323.127292294574,-0.410037759882196,0.208154178807223,-1.9698752253345,0.0488526724402688,0.999905437934732
ENSMUSE00000711082,37.2833965279711,-1.39425113438785,0.392460558863053,-3.55258917845645,0.000381459695145438,0.0936271629529191
ENSMUSE00000713262,9.51594813689618,-1.83252060850136,0.799955120137569,-2.29077927294999,0.0219761830126826,1
ENSMUSE00000713575,435.162039194018,-1.09538670312797,0.365900358535683,-2.99367485594073,0.00275639514470324,0.57779366347927
ENSMUSE00000729981,29.4892153300685,-2.21817965299699,0.651597449143876,-3.40421782791113,0.000663538162346734,0.154290084276204
ENSMUSE00000730529,400.629815614051,-0.396786044741383,0.196124220997622,-2.02313637103596,0.0430590896029087,0.999905437934732
ENSMUSE00000767183,7.16725207908533,-3.51719979563506,1.33531435901225,-2.63398635077719,0.00843888802642014,1
