ID,count
ENSMUSE00000858910,2
ENSMUSE00000863980,1
ENSMUSE00000485541,59
ENSMUSE00001343189,1
ENSMUSE00001343686,0
ENSMUSE00001337180,1
ENSMUSE00001345667,0
ENSMUSE00001343966,0
ENSMUSE00001337496,1
ENSMUSE00000846843,0
ENSMUSE00001344134,8
ENSMUSE00001340315,0
ENSMUSE00001378580,55
ENSMUSE00001342598,2
ENSMUSE00001379779,15
ENSMUSE00001403780,15
ENSMUSE00001396015,1
ENSMUSE00001340813,1
ENSMUSE00000471383,0
ENSMUSE00001346369,0
ENSMUSE00001341878,1
ENSMUSE00000436360,0
ENSMUSE00001339744,0
ENSMUSE00001338503,0
ENSMUSE00001338470,0
ENSMUSE00000231976,0
ENSMUSE00001344451,0
ENSMUSE00001340102,2
ENSMUSE00001304409,30
ENSMUSE00001342057,11
ENSMUSE00000846510,0
ENSMUSE00001345430,12
ENSMUSE00000450421,164
ENSMUSE00001229301,164
ENSMUSE00000789568,154
ENSMUSE00001246843,128
ENSMUSE00001343760,17
ENSMUSE00001266256,66
ENSMUSE00000727986,19
ENSMUSE00000491965,5
ENSMUSE00001344247,1
ENSMUSE00000814493,14
ENSMUSE00001258222,22
ENSMUSE00001235188,13
ENSMUSE00001288384,13
ENSMUSE00001269943,12
ENSMUSE00000898244,0
ENSMUSE00001338399,0
ENSMUSE00000815609,2
ENSMUSE00001345632,0
ENSMUSE00001341829,0
ENSMUSE00000945922,0
ENSMUSE00001344175,0
ENSMUSE00000230695,0
ENSMUSE00001336803,0
ENSMUSE00001343562,22
ENSMUSE00000850919,10
ENSMUSE00000630867,1
ENSMUSE00001343653,0
ENSMUSE00001345117,19
ENSMUSE00001343905,1
ENSMUSE00001229435,0
ENSMUSE00001340227,0
ENSMUSE00001116424,80
ENSMUSE00001345075,40
ENSMUSE00001340075,40
ENSMUSE00001341418,5
ENSMUSE00001340185,0
ENSMUSE00000766828,140
ENSMUSE00000805330,139
ENSMUSE00001283395,14
ENSMUSE00000229712,74
ENSMUSE00001338148,1
ENSMUSE00000837222,0
ENSMUSE00001342882,0
ENSMUSE00001089168,0
ENSMUSE00001337805,0
ENSMUSE00000710157,2
ENSMUSE00000727604,0
ENSMUSE00001343882,0
ENSMUSE00000535591,0
ENSMUSE00001341429,0
ENSMUSE00001345729,0
ENSMUSE00000633382,2
ENSMUSE00001338516,0
ENSMUSE00001346128,1
ENSMUSE00000703062,12
ENSMUSE00000703061,12
ENSMUSE00001332771,0
ENSMUSE00000703041,29
ENSMUSE00000553770,26
ENSMUSE00000863091,0
ENSMUSE00000854215,5
ENSMUSE00000373485,205
ENSMUSE00000398161,2
ENSMUSE00000847426,0
ENSMUSE00001269731,120
ENSMUSE00001211290,78
ENSMUSE00001225956,55
ENSMUSE00001273290,117
ENSMUSE00000946085,13
ENSMUSE00001317570,2
ENSMUSE00000630817,0
