,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSE00000102087,12.9938969495654,-4.7349741166506,1.35839799482903,-3.48570458339534,0.000490842734689278,0.00397617927525271
ENSMUSE00000110147,3.10689857411061,-5.26350018123099,1.64426265418709,-3.2011310162811,0.00136889273917798,0.00939861722142928
ENSMUSE00000116533,62.5338064854993,-2.57935295293347,0.531859151587595,-4.8496917750388,1.23653467907161e-06,1.99189992651592e-05
ENSMUSE00000127659,22.7889970808768,-2.03398479373704,0.586927558122375,-3.46547843185947,0.000529288978880736,0.00423280816917407
ENSMUSE00000134156,258.98153772668,-0.702645435444263,0.259453979477724,-2.70816981438742,0.00676553952674,0.0356982076246919
ENSMUSE00000136709,4.77785231016352,-5.66597025295189,1.53309901352189,-3.69576276742609,0.000219227607988366,0.0020036549236599
ENSMUSE00000137351,3.69305684926794,-5.25918454987543,1.51392983222915,-3.47386281577639,0.000513023255099604,0.00412912212467587
ENSMUSE00000139353,63.5597865149739,-0.928699879275959,0.274402882498691,-3.3844392260726,0.000713238065144266,0.00541906923989503
ENSMUSE00000139470,20.6025698956569,-2.4644631475517,0.77217547735612,-3.19158432224482,0.00141494803103355,0.00966766676543557
ENSMUSE00000145409,52.8006963794578,-1.47779888743515,0.467416974242688,-3.16162862897627,0.00156889510002672,0.0104841298672409
ENSMUSE00000146604,6.77066633070438,-3.01436857425927,0.995311043073946,-3.0285694057504,0.00245714628242323,0.0152943433610202
ENSMUSE00000147348,19.7433168793798,-2.78419102494167,0.86494770099427,-3.21891256747801,0.00128677713870822,0.00892186612183163
ENSMUSE00000154608,8.32513509962194,-2.64501714148493,0.779130383694647,-3.39483249124778,0.000686706012718684,0.00524580034139239
ENSMUSE00000158397,20.1639757240701,-3.01869391391802,0.654516608116119,-4.61209673900661,3.98627383403701e-06,5.76787922333416e-05
ENSMUSE00000189293,10.5447448170173,-2.73440484445612,0.904793754328323,-3.02213054784625,0.00251002272654603,0.0155812772718283
ENSMUSE00000196464,20.659888529812,-2.19832553906473,0.668730245595782,-3.28731286425696,0.00101148390386457,0.00728216672475384
ENSMUSE00000203272,4.23864109839329,-4.96976632707277,1.53147356028762,-3.24508790484077,0.00117414372234946,0.00826303644603434
ENSMUSE00000214948,6.08172175775117,-2.35830452115306,0.889354414335201,-2.65170384622863,0.00800867534782499,0.0408228539685421
ENSMUSE00000222194,9.08349252096968,-4.91873382811239,1.40603525904777,-3.49830048461485,0.000468233271641717,0.00382051205701865
ENSMUSE00000226416,15.8121974865397,-2.32223626673476,0.745757320273442,-3.11393023387726,0.00184613136971131,0.0120506894046083
ENSMUSE00000229473,9.40087154862229,-2.19761042697043,0.752095918167293,-2.92198159022797,0.00347812098407202,0.0203977303545057
ENSMUSE00000237584,13.0091873441323,-3.26216688828278,0.732894971039842,-4.45107009487917,8.54434442037674e-06,0.000115082916475409
ENSMUSE00000242650,3.43912506498086,-4.04757449315121,1.53873030962968,-2.63046387519678,0.008526843130288,0.0429392905398224
ENSMUSE00000245196,12.5548376197422,-4.12802927028938,0.999879114668678,-4.12852834880669,3.65092432794896e-05,0.000420771831450413
ENSMUSE00000245382,73.9275766681399,-3.9219600446863,0.406357108047362,-9.6515108681923,4.8436760287428e-22,7.68166085685126e-20
ENSMUSE00000246988,8.3963936608391,-2.27273921029686,0.856739280271963,-2.65277811188416,0.00798323311690472,0.0407669863475497
