"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008171","O-methyltransferase activity","4/592","23/22744",0.00271387418144573,0.00271387418144573,0.445840086648721,"Mepce/Trmt13/Comt/Cmtr1",4
"GO:0001608","G protein-coupled nucleotide receptor activity","3/592","12/22744",0.0032386903149803,0.0032386903149803,0.445840086648721,"P2ry14/Gpr171/Gpr87",3
"GO:0045028","G protein-coupled purinergic nucleotide receptor activity","3/592","12/22744",0.0032386903149803,0.0032386903149803,0.445840086648721,"P2ry14/Gpr171/Gpr87",3
"GO:0005172","vascular endothelial growth factor receptor binding","3/592","13/22744",0.00412947526380816,0.00412947526380816,0.445840086648721,"Angpt2/Vegfa/Angpt4",3
"GO:0005161","platelet-derived growth factor receptor binding","3/592","14/22744",0.00515494262468219,0.00515494262468219,0.445840086648721,"Rasa1/Vegfa/Pdgfb",3
"GO:0030296","protein tyrosine kinase activator activity","3/592","16/22744",0.00763013960001003,0.00763013960001003,0.445840086648721,"Abi1/Angpt4/Cd24a",3
"GO:0001968","fibronectin binding","4/592","31/22744",0.00818601610966986,0.00818601610966986,0.445840086648721,"Tnc/Vegfa/Loxl3/Itga4",4
"GO:0043422","protein kinase B binding","3/592","17/22744",0.00908828337787582,0.00908828337787582,0.445840086648721,"Rasa1/Pde3b/Srsf1",3
"GO:0019956","chemokine binding","4/592","32/22744",0.00916661433905926,0.00916661433905926,0.445840086648721,"Ackr4/Cxcr3/Itga4/Ccr9",4
"GO:0030332","cyclin binding","4/592","32/22744",0.00916661433905926,0.00916661433905926,0.445840086648721,"Cdk13/Ptch1/Usp2/Cdk4",4
"GO:0042974","retinoic acid receptor binding","4/592","32/22744",0.00916661433905926,0.00916661433905926,0.445840086648721,"Vdr/Nrip1/Snw1/Arid5a",4
"GO:0008080","N-acetyltransferase activity","7/592","92/22744",0.0101949382365773,0.0101949382365773,0.445840086648721,"Gnpnat1/Esco2/Clock/Nat8f3/Nat8f7/Kat2b/Rsf1",7
"GO:0004693","cyclin-dependent protein serine/threonine kinase activity","4/592","34/22744",0.0113500508678325,0.0113500508678325,0.445840086648721,"Cdk13/Ccnh/Cdk4/Cdk17",4
"GO:0097472","cyclin-dependent protein kinase activity","4/592","35/22744",0.0125566868713302,0.0125566868713302,0.445840086648721,"Cdk13/Ccnh/Cdk4/Cdk17",4
"GO:0001614","purinergic nucleotide receptor activity","3/592","20/22744",0.0143824819598171,0.0143824819598171,0.445840086648721,"P2ry14/Gpr171/Gpr87",3
"GO:0016502","nucleotide receptor activity","3/592","20/22744",0.0143824819598171,0.0143824819598171,0.445840086648721,"P2ry14/Gpr171/Gpr87",3
"GO:0033613","activating transcription factor binding","6/592","80/22744",0.0179800130518598,0.0179800130518598,0.445840086648721,"Trp53bp1/Hdac7/Creb1/Mef2d/Klf1/Exosc9",6
"GO:0017069","snRNA binding","4/592","39/22744",0.0181882005883692,0.0181882005883692,0.445840086648721,"Mepce/Gemin5/Snu13/Prpf31",4
"GO:0046965","retinoid X receptor binding","3/592","22/22744",0.0186987704840584,0.0186987704840584,0.445840086648721,"Vdr/Nrip1/Arid5a",3
"GO:0008173","RNA methyltransferase activity","5/592","60/22744",0.0198196322883924,0.0198196322883924,0.445840086648721,"Mepce/Trmt13/Cmtr1/Trmt2a/Nsun2",5
