"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000776","kinetochore","32/497","130/23407",4.13873457298482e-25,1.72999105150766e-22,1.49430100898294e-22,"Sgo2a/Nsl1/Nek2/Bub1b/Knstrn/Cenpe/Kntc1/Plk1/Cenpn/Ttk/Nup37/Aurkb/Spag5/Birc5/Cenpk/Nuf2/Cenpf/Spc25/Bub1/Cenps/Spc24/Zwilch/Spdl1/Cenpv/Mis18bp1/Cenph/Ccnb1/Ska3/Cenpm/Cbx5/Sgo1/Ska1",32
"GO:0000775","chromosome, centromeric region","35/497","189/23407",6.70780942677022e-23,1.40193217019498e-20,1.21093612283273e-20,"Sgo2a/Nsl1/Nek2/Bub1b/Knstrn/Cenpe/Ncapg/Kntc1/Plk1/Cenpn/Ttk/Nup37/Aurkb/Spag5/Birc5/Cenpk/Nuf2/Cenpf/Spc25/Bub1/Cenps/Spc24/Zwilch/Spdl1/Cenpv/Mis18bp1/Cenpp/Cenph/Ccnb1/Ska3/Esco2/Cenpm/Cbx5/Sgo1/Ska1",35
"GO:0098687","chromosomal region","42/497","298/23407",1.92601010256617e-22,2.6835740762422e-20,2.31797005326385e-20,"Sgo2a/Nsl1/Nek2/Bub1b/Knstrn/Rad51/Cenpe/Ncapg/Kntc1/Brca2/Plk1/Cenpn/Pif1/Ttk/Dna2/Nup37/Aurkb/Spag5/Birc5/Tert/Cenpk/Nuf2/Cenpf/Spc25/Bub1/Cenps/Ezh2/Ccdc155/Spc24/Zwilch/Spdl1/Cenpv/Mis18bp1/Cenpp/Cenph/Ccnb1/Ska3/Esco2/Cenpm/Cbx5/Sgo1/Ska1",42
"GO:0005819","spindle","39/497","272/23407",3.45641660169235e-21,3.61195534876851e-19,3.11987077468546e-19,"Kif14/Aspm/Nek2/Bub1b/Knstrn/Nusap1/Tpx2/Cenpe/Aunip/Cdc7/Kntc1/Prc1/Plk1/Ttk/Myh10/Aurkb/Spag5/Cdc6/Birc5/Espl1/Kif20a/Kif11/Cenpf/Ckap2l/Ect2/Ccdc155/Kif23/Cdk1/Spdl1/Cenpv/Haspin/Kif18b/Wdr60/Ccnb1/Dlgap5/Ska3/Kifc1/Sgo1/Ska1",39
"GO:0000779","condensed chromosome, centromeric region","19/497","50/23407",1.92348436485061e-19,1.60803292901511e-17,1.38895818346055e-17,"Sgo2a/Nsl1/Bub1b/Cenpe/Ncapg/Plk1/Aurkb/Birc5/Cenpk/Nuf2/Cenpf/Spc25/Bub1/Spdl1/Mis18bp1/Ccnb1/Ska3/Sgo1/Ska1",19
"GO:0000777","condensed chromosome kinetochore","15/497","34/23407",8.35826821432408e-17,5.82292685597911e-15,5.02962455704063e-15,"Nsl1/Bub1b/Cenpe/Plk1/Birc5/Cenpk/Nuf2/Cenpf/Spc25/Bub1/Spdl1/Mis18bp1/Ccnb1/Ska3/Ska1",15
"GO:0000793","condensed chromosome","29/497","208/23407",9.89811187011274e-16,5.91058680243875e-14,5.10534191195289e-14,"Sgo2a/Nsl1/Nek2/Bub1b/Rad51/Cenpe/Smc2/Ncapg/Brca2/Fancd2/Plk1/Aurkb/Birc5/Ncapg2/Cenpk/Cdca5/Nuf2/Cenpf/Spc25/Bub1/Ccdc155/Spdl1/Top2a/Brca1/Mis18bp1/Ccnb1/Ska3/Sgo1/Ska1",29
"GO:0044815","DNA packaging complex","19/497","97/23407",1.75877235811778e-13,9.18958557116539e-12,7.93761735308418e-12,"Smc2/Ncapg/Ncapg2/Hist1h3h/Hist1h2bm/Hist1h4j/Hist1h2bk/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h2bb/Hist1h3b/Hist1h4b/Hist1h1a/Hist1h1b/Hist1h2ah/Hist1h4i/Hist1h3c",19
"GO:0000940","condensed chromosome outer kinetochore","9/497","14/23407",1.48749012666176e-12,6.90856525494018e-11,5.96735805198812e-11,"Bub1b/Cenpe/Plk1/Cenpf/Bub1/Spdl1/Ccnb1/Ska3/Ska1",9
"GO:0000780","condensed nuclear chromosome, centromeric region","11/497","29/23407",8.68187239492599e-12,3.62902266107906e-10,3.13461287522065e-10,"Sgo2a/Bub1b/Cenpe/Plk1/Aurkb/Cenpk/Nuf2/Bub1/Mis18bp1/Ccnb1/Sgo1",11
"GO:0000786","nucleosome","16/497","88/23407",4.77201041357055e-11,1.81336395715681e-09,1.56631537976526e-09,"Hist1h3h/Hist1h2bm/Hist1h4j/Hist1h2bk/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h2bb/Hist1h3b/Hist1h4b/Hist1h1a/Hist1h1b/Hist1h2ah/Hist1h4i/Hist1h3c",16
"GO:0005876","spindle microtubule","13/497","53/23407",5.9195546641345e-11,2.06197820800685e-09,1.78105899105099e-09,"Nusap1/Tpx2/Cenpe/Kntc1/Plk1/Aurkb/Spag5/Birc5/Kif11/Cdk1/Kif18b/Ska3/Ska1",13
"GO:0072686","mitotic spindle","17/497","107/23407",1.10420596333841e-10,3.55044686673426e-09,3.06674206821922e-09,"Aspm/Knstrn/Nusap1/Tpx2/Cenpe/Cdc7/Aurkb/Spag5/Espl1/Kif11/Ckap2l/Ect2/Kif23/Cdk1/Kif18b/Kifc1/Ska1",17
"GO:0000922","spindle pole","18/497","128/23407",2.49811188145839e-10,7.4586483317829e-09,6.44249906270847e-09,"Aspm/Nek2/Tpx2/Aunip/Kntc1/Plk1/Aurkb/Spag5/Cdc6/Kif11/Cenpf/Ccdc155/Spdl1/Wdr60/Ccnb1/Dlgap5/Kifc1/Sgo1",18
"GO:0000778","condensed nuclear chromosome kinetochore","8/497","16/23407",4.33002311181149e-10,1.20663310715813e-08,1.0422441595448e-08,"Bub1b/Cenpe/Plk1/Cenpk/Nuf2/Bub1/Mis18bp1/Ccnb1",8
"GO:0032993","protein-DNA complex","20/497","186/23407",3.21026645519698e-09,8.38682111420212e-08,7.24421969824057e-08,"Gins1/Prim1/Hist1h3h/Hist1h2bm/Hist1h4j/Hist1h2bk/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h2bb/Hist1h3b/Hist1h4b/Hist1h1a/Hist1h1b/Hist1h2ah/Hist1h4i/Hist1h3c/Cdc45/Pola1",20
"GO:0030496","midbody","17/497","139/23407",6.97536730785975e-09,1.71511972628552e-07,1.48145571925442e-07,"Kif14/Aspm/Nek2/Cenpe/Cit/Prc1/Plk1/Myh10/Aurkb/Birc5/Kif20a/Cep55/Cenpf/Ect2/Anln/Kif23/Cdk1",17
"GO:0005874","microtubule","28/497","419/23407",1.08209029806176e-07,2.5128541366101e-06,2.17050860956249e-06,"Kif14/Aspm/Nek2/Knstrn/Nusap1/Tpx2/Cenpe/Stmn1/Kntc1/Prc1/Plk1/Kif15/Aurkb/Spag5/Birc5/Ccdc50/Trip10/Kif20a/Kif11/Kif24/Kif23/Cdk1/Gas2l3/Gas2l1/Kif18b/Ska3/Kifc1/Ska1",28
"GO:0000794","condensed nuclear chromosome","16/497","155/23407",2.12922562820381e-07,4.68429638204838e-06,4.04611850678065e-06,"Sgo2a/Nek2/Bub1b/Rad51/Cenpe/Brca2/Plk1/Aurkb/Cenpk/Nuf2/Bub1/Ccdc155/Brca1/Mis18bp1/Ccnb1/Sgo1",16
"GO:0005871","kinesin complex","9/497","56/23407",2.54825637188332e-06,5.32585581723614e-05,4.60027334503147e-05,"Kif14/Cenpe/Kif15/Kif20a/Kif11/Kif24/Kif23/Kif18b/Kifc1",9
"GO:0051233","spindle midzone","7/497","34/23407",6.10520988333079e-06,0.000121522749106299,0.000104966766415161,"Kif14/Cenpe/Plk1/Aurkb/Cdc6/Cenpv/Kif18b",7
"GO:0000790","nuclear chromatin","24/497","404/23407",6.74233300313803e-06,0.000128104327059623,0.000110651685171117,"Rad51/Tipin/Hist1h3h/Hist1h4j/Hist1h2af/Hist1h3g/Hist1h1d/Hist1h3d/Hist1h3b/Hist1h4b/Hist1h1a/Chaf1a/Uhrf1/Cdca5/Zeb2/Ezh2/Rad51ap1/Eme1/Pcgf2/Hist1h1b/Hist1h2ah/Hist1h4i/Esco2/Cbx5",24
"GO:0000788","nuclear nucleosome","7/497","38/23407",1.33089712412852e-05,0.000241876086037271,0.00020892343870759,"Hist1h3h/Hist1h4j/Hist1h3g/Hist1h3d/Hist1h3b/Hist1h4b/Hist1h4i",7
"GO:0044450","microtubule organizing center part","13/497","164/23407",5.07674151767615e-05,0.000884199147661929,0.000763737868667947,"Bbs5/Ssx2ip/Alms1/Plk1/Spag5/Birc5/Cby1/Ccdc14/Cchcr1/Kif24/Top2a/Wdr60/Ccnf",13
"GO:0005875","microtubule associated complex","12/497","147/23407",7.38900805581335e-05,0.00123544214693199,0.00106712832132378,"Kif14/Cenpe/Kif15/Aurkb/Birc5/Kif20a/Kif11/Kif24/Kif23/Kif18b/Wdr60/Kifc1",12
"GO:0005657","replication fork","8/497","71/23407",0.000128624725515676,0.00206788981790587,0.00178616521667518,"Tipin/Pif1/Prim1/Rad51b/Uhrf1/Mcm10/Cdc45/Pola1",8
"GO:0000800","lateral element","4/497","17/23407",0.000383634851391546,0.00593923584746912,0.005130087876308,"Rad51/Brca2/Ccdc155/Brca1",4
"GO:0034451","centriolar satellite","5/497","31/23407",0.000455347570830542,0.00679768873597024,0.00587158709755173,"Bbs5/Ssx2ip/Plk1/Spag5/Ccdc14",5
"GO:0032155","cell division site part","6/497","51/23407",0.000712656847362417,0.0102720883516376,0.00887264241906748,"Cit/Myh10/Kif20a/Mastl/Ect2/Anln",6
"GO:0032153","cell division site","6/497","56/23407",0.00117527024014719,0.0163754320127175,0.0141444804340522,"Cit/Myh10/Kif20a/Mastl/Ect2/Anln",6
"GO:0045171","intercellular bridge","6/497","58/23407",0.0014138678163162,0.0190644112006506,0.0164671192188949,"Tpx2/Cdc7/Ppp1r13l/Kif20a/Cep55/Kif23",6
"GO:0043596","nuclear replication fork","5/497","40/23407",0.00150770188771937,0.0196943559083342,0.0170112416936758,"Tipin/Prim1/Mcm10/Cdc45/Pola1",5
"GO:0032154","cleavage furrow","5/497","41/23407",0.00168755475254342,0.0213756935322167,0.0184635177072534,"Cit/Myh10/Kif20a/Mastl/Ect2",5
"GO:0000307","cyclin-dependent protein kinase holoenzyme complex","5/497","42/23407",0.00188265473800325,0.0231455788378046,0.0199922778679602,"Ccna2/Ccne1/Cdk1/Ccnb1/Ccnf",5
"GO:0005720","nuclear heterochromatin","5/497","43/23407",0.00209375086990515,0.024527594534943,0.0211860108926856,"Uhrf1/Eme1/Pcgf2/Esco2/Cbx5",5
"GO:0019867","outer membrane","11/497","186/23407",0.00217110286553323,0.024527594534943,0.0211860108926856,"Miga2/Dmpk/Bcl2a1a/Bcl2a1b/Acsl6/Myo19/Bcl2l1/Hk2/Ccdc155/Bcl2a1d/Akap1",11
"GO:0031968","organelle outer membrane","11/497","186/23407",0.00217110286553323,0.024527594534943,0.0211860108926856,"Miga2/Dmpk/Bcl2a1a/Bcl2a1b/Acsl6/Myo19/Bcl2l1/Hk2/Ccdc155/Bcl2a1d/Akap1",11
"GO:0000781","chromosome, telomeric region","8/497","110/23407",0.00241775556978299,0.0265953112676129,0.0229720266048633,"Rad51/Brca2/Pif1/Dna2/Tert/Ezh2/Ccdc155/Cbx5",8
"GO:0042575","DNA polymerase complex","3/497","14/23407",0.00290894068792749,0.0303984301888423,0.0262570172620824,"Pole/Dna2/Tert",3
"GO:1990023","mitotic spindle midzone","3/497","14/23407",0.00290894068792749,0.0303984301888423,0.0262570172620824,"Cenpe/Aurkb/Kif18b",3
"GO:0005814","centriole","8/497","115/23407",0.00318568622568943,0.0324784595692239,0.0280536681748774,"Alms1/Plk1/Birc5/Cby1/Cchcr1/Kif24/Top2a/Ccnf",8
"GO:0005741","mitochondrial outer membrane","10/497","169/23407",0.00338167337149851,0.0336557016496757,0.0290705254742855,"Miga2/Dmpk/Bcl2a1a/Bcl2a1b/Acsl6/Myo19/Bcl2l1/Hk2/Bcl2a1d/Akap1",10
"GO:1990752","microtubule end","4/497","31/23407",0.00401110407439318,0.0389916628627058,0.033679527478993,"Aspm/Knstrn/Spag5/Kif18b",4
"GO:0010369","chromocenter","3/497","16/23407",0.00433642047017131,0.0411959944666275,0.0355835459633675,"Aurkb/Esco2/Cbx5",3
"GO:0000784","nuclear chromosome, telomeric region","6/497","75/23407",0.00520408803442753,0.0483401955197935,0.0417544373288571,"Rad51/Brca2/Pif1/Dna2/Tert/Cbx5",6
"GO:0061695","transferase complex, transferring phosphorus-containing groups","12/497","244/23407",0.00621005912177553,0.0564305372370038,0.0487425693082153,"Pole/Cish/Dna2/Prim1/Tert/Ccna2/Ccne1/Cdk1/Ccnb1/Ccnf/Gtf2h4/Pola1",12
"GO:1902554","serine/threonine protein kinase complex","6/497","82/23407",0.00799942693478897,0.0711438395476977,0.0614513648070015,"Ccna2/Ccne1/Cdk1/Ccnb1/Ccnf/Gtf2h4",6
"GO:0031616","spindle pole centrosome","3/497","20/23407",0.00829008950358168,0.0721928627603572,0.0623574714852745,"Aurkb/Dlgap5/Kifc1",3
"GO:0030672","synaptic vesicle membrane","7/497","110/23407",0.00910146095766266,0.0760882136060599,0.065722128599543,"Slc9b2/Atp6v0a1/Syngr1/Atp6v1g2/Sema4c/Bcl2l1/Ptprs",7
"GO:0099501","exocytic vesicle membrane","7/497","110/23407",0.00910146095766266,0.0760882136060599,0.065722128599543,"Slc9b2/Atp6v0a1/Syngr1/Atp6v1g2/Sema4c/Bcl2l1/Ptprs",7
"GO:0030658","transport vesicle membrane","8/497","141/23407",0.0106250704277999,0.0870839105651053,0.0752197968366435,"Slc9b2/Atp6v0a1/Syngr1/Atp6v1g2/Sema4c/Bcl2l1/Nrgn/Ptprs",8
"GO:0035371","microtubule plus-end","3/497","23/23407",0.0122881614704965,0.0969141791446702,0.0837108120035806,"Knstrn/Spag5/Kif18b",3
"GO:0045120","pronucleus","3/497","23/23407",0.0122881614704965,0.0969141791446702,0.0837108120035806,"Cenpf/Ccna2/Ezh2",3
