"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006006","glucose metabolic process","3/16","195/23174",0.00030305398619825,0.0845809571032743,0.0582047658020628,"G6pd2/Gpd2/Tcf7l2",3
"GO:0019318","hexose metabolic process","3/16","224/23174",0.000454700067262558,0.0845809571032743,0.0582047658020628,"G6pd2/Gpd2/Tcf7l2",3
"GO:0005996","monosaccharide metabolic process","3/16","254/23174",0.000655666334133909,0.0845809571032743,0.0582047658020628,"G6pd2/Gpd2/Tcf7l2",3
"GO:0006094","gluconeogenesis","2/16","73/23174",0.00114140278053991,0.087305695750897,0.0600798069494817,"Gpd2/Tcf7l2",2
"GO:0019319","hexose biosynthetic process","2/16","76/23174",0.00123632949805125,0.087305695750897,0.0600798069494817,"Gpd2/Tcf7l2",2
"GO:0046364","monosaccharide biosynthetic process","2/16","82/23174",0.00143717597156459,0.087305695750897,0.0600798069494817,"Gpd2/Tcf7l2",2
"GO:0042475","odontogenesis of dentin-containing tooth","2/16","86/23174",0.00157917279135989,0.087305695750897,0.0600798069494817,"Tcf7l2/Edaradd",2
"GO:0048709","oligodendrocyte differentiation","2/16","103/23174",0.00225413726407116,0.106017778037134,0.0729566104811505,"Tcf7l2/Sox5",2
"GO:0042476","odontogenesis","2/16","116/23174",0.00284727088543311,0.106017778037134,0.0729566104811505,"Tcf7l2/Edaradd",2
"GO:0007030","Golgi organization","2/16","121/23174",0.0030929054633158,0.106017778037134,0.0729566104811505,"Myo18a/Arhgap21",2
"GO:0051656","establishment of organelle localization","3/16","474/23174",0.00390496884096444,0.106017778037134,0.0729566104811505,"Vamp1/Tacc2/Arhgap21",3
"GO:0022027","interkinetic nuclear migration","1/16","10/23174",0.00688421034401088,0.106017778037134,0.0729566104811505,"Tacc2",1
"GO:0035947","regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter","1/16","10/23174",0.00688421034401088,0.106017778037134,0.0729566104811505,"Tcf7l2",1
"GO:1901142","insulin metabolic process","1/16","10/23174",0.00688421034401088,0.106017778037134,0.0729566104811505,"Tcf7l2",1
"GO:0061351","neural precursor cell proliferation","2/16","183/23174",0.0069199861469788,0.106017778037134,0.0729566104811505,"Tacc2/Sox5",2
"GO:0016051","carbohydrate biosynthetic process","2/16","191/23174",0.00751579449999298,0.106017778037134,0.0729566104811505,"Gpd2/Tcf7l2",2
"GO:0002118","aggressive behavior","1/16","11/23174",0.00757018222427752,0.106017778037134,0.0729566104811505,"Gcnt4",1
"GO:0006072","glycerol-3-phosphate metabolic process","1/16","11/23174",0.00757018222427752,0.106017778037134,0.0729566104811505,"Gpd2",1
"GO:0030953","astral microtubule organization","1/16","11/23174",0.00757018222427752,0.106017778037134,0.0729566104811505,"Tacc2",1
"GO:0031630","regulation of synaptic vesicle fusion to presynaptic active zone membrane","1/16","11/23174",0.00757018222427752,0.106017778037134,0.0729566104811505,"Vamp1",1
