"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","regulation of cell-cell adhesion","27/331","394/23174",2.08429183437518e-11,7.98700630932568e-08,5.9983725001913e-08,"Tnfsf4/Slamf1/Il2ra/Lrrc32/Adora2a/Adam19/Cd83/Egr3/Myo10/Tnfrsf21/Tnfsf9/Jak2/Pdcd1lg2/Serpine2/Xcl1/Cd44/Sdc4/Il2/Cd160/Sh2b3/Lag3/Il23a/Tbx21/Nfkbiz/Tnf/Vegfa/Tnfsf14",27
"GO:0050863","regulation of T cell activation","22/331","304/23174",5.73235739280812e-10,6.77821578208366e-07,5.09055102412282e-07,"Tnfsf4/Slamf1/Il2ra/Rorc/Lrrc32/Sh3rf1/Adora2a/Cd83/Egr3/Tnfrsf21/Tnfsf9/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Cd160/Lag3/Il23a/Tbx21/Nfkbiz/Tnfsf14",22
"GO:0042110","T cell activation","28/331","491/23174",6.09844393235924e-10,6.77821578208366e-07,5.09055102412282e-07,"Tnfsf4/Slamf1/Il2ra/Rorc/Kit/Lrrc32/Sh3rf1/Adora2a/Irf4/Cd83/Egr3/Lcp1/Tnfrsf21/Tnfsf9/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Cd160/Lag3/Zbtb32/Bcl2a1d/Stx11/Il23a/Tbx21/Nfkbiz/Tnfsf14",28
"GO:1901607","alpha-amino acid biosynthetic process","11/331","60/23174",7.85658094536927e-10,6.77821578208366e-07,5.09055102412282e-07,"Cad/Phgdh/Cth/Psph/Asns/Bcat1/Shmt2/Shmt1/Pycr1/Psat1/Aldh18a1",11
"GO:1903706","regulation of hemopoiesis","25/331","406/23174",1.10381937584029e-09,6.77821578208366e-07,5.09055102412282e-07,"Twist2/Tnfsf4/Il2ra/Rorc/Sh3rf1/Inpp4b/Lif/Inhba/Cd83/Egr3/Myc/Tnfsf9/Cd44/Il2/Hax1/Lag3/Axl/Il23a/Gas2l1/Ccl3/Tbx21/Hist1h4i/Nfkbiz/Tnf/Vegfa",25
"GO:1903037","regulation of leukocyte cell-cell adhesion","21/331","287/23174",1.16739319948885e-09,6.77821578208366e-07,5.09055102412282e-07,"Tnfsf4/Slamf1/Il2ra/Lrrc32/Adora2a/Cd83/Egr3/Tnfrsf21/Tnfsf9/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Cd160/Lag3/Il23a/Tbx21/Nfkbiz/Tnf/Tnfsf14",21
"GO:0008652","cellular amino acid biosynthetic process","11/331","63/23174",1.35891543439643e-09,6.77821578208366e-07,5.09055102412282e-07,"Cad/Phgdh/Cth/Psph/Asns/Bcat1/Shmt2/Shmt1/Pycr1/Psat1/Aldh18a1",11
"GO:0007159","leukocyte cell-cell adhesion","22/331","319/23174",1.41507636369179e-09,6.77821578208366e-07,5.09055102412282e-07,"Tnfsf4/Slamf1/Il2ra/Lrrc32/Adora2a/Cd83/Egr3/Tnfrsf21/Tnfsf9/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Cd160/Lag3/Il23a/Tbx21/Nfkbiz/Tnf/Tnfsf14/Gcnt1",22
"GO:0002683","negative regulation of immune system process","26/331","470/23174",4.8187911030871e-09,2.05173416744775e-06,1.54088595039066e-06,"Twist2/Tnfsf4/Slamf1/Il2ra/Dab2ip/Lrrc32/Inpp4b/Adora2a/Irf4/Myc/Tnfrsf21/Pdcd1lg2/Pdcd1/Xcl1/Cd44/Sdc4/Il2/Cd160/Lag3/Axl/Gas2l1/Tbx21/Hist1h4i/Cd200/Tnf/Ptprs",26
"GO:0032649","regulation of interferon-gamma production","13/331","109/23174",5.56193969541251e-09,2.13133529128207e-06,1.60066769760609e-06,"Tnfsf4/Slamf1/Irf8/Mir155/Tnfsf9/Pdcd1lg2/Xcl1/Il2/Cd160/Axl/Il23a/Tnf/Lta",13
"GO:0050866","negative regulation of cell activation","17/331","203/23174",6.15806160542876e-09,2.14524473381846e-06,1.6111139166739e-06,"Tnfsf4/Il2ra/Lrrc32/Adora2a/Tnfrsf21/Pdcd1lg2/Serpine2/Xcl1/Cd44/Sdc4/Il2/Sh2b3/Lag3/Axl/Tbx21/Pdgfb/Cd200",17
"GO:0006520","cellular amino acid metabolic process","19/331","260/23174",7.47735877038616e-09,2.38776990067665e-06,1.79325428756454e-06,"Cad/Il4i1/Gpt2/Slc7a11/Phgdh/Cth/Gatc/Psph/Asns/Bcat1/Cars/Mars/Shmt2/Shmt1/Pycr1/Prodh/Lars/Psat1/Aldh18a1",19
"GO:1902105","regulation of leukocyte differentiation","20/331","294/23174",1.01329527415236e-08,2.98688268503988e-06,2.24319779719235e-06,"Tnfsf4/Il2ra/Rorc/Sh3rf1/Inpp4b/Lif/Cd83/Egr3/Myc/Tnfsf9/Cd44/Il2/Hax1/Lag3/Axl/Il23a/Ccl3/Tbx21/Nfkbiz/Tnf",20
"GO:0022408","negative regulation of cell-cell adhesion","16/331","186/23174",1.18079284053754e-08,3.23199868924275e-06,2.42728392934558e-06,"Tnfsf4/Il2ra/Lrrc32/Adora2a/Tnfrsf21/Jak2/Pdcd1lg2/Serpine2/Xcl1/Cd44/Sdc4/Il2/Sh2b3/Lag3/Tbx21/Vegfa",16
"GO:0035710","CD4-positive, alpha-beta T cell activation","12/331","100/23174",2.01740489756783e-08,5.15379704498661e-06,3.87058595785996e-06,"Tnfsf4/Rorc/Sh3rf1/Irf4/Cd83/Xcl1/Cd44/Il2/Cd160/Il23a/Tbx21/Nfkbiz",12
"GO:0032609","interferon-gamma production","13/331","122/23174",2.21248753405778e-08,5.29890764406839e-06,3.97956639349604e-06,"Tnfsf4/Slamf1/Irf8/Mir155/Tnfsf9/Pdcd1lg2/Xcl1/Il2/Cd160/Axl/Il23a/Tnf/Lta",13
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","10/331","64/23174",2.36085982894523e-08,5.32165580265771e-06,3.99665063302554e-06,"Tnfsf4/Sh3rf1/Cd83/Xcl1/Cd44/Il2/Cd160/Il23a/Tbx21/Nfkbiz",10
"GO:2001233","regulation of apoptotic signaling pathway","23/331","412/23174",3.23724042144614e-08,6.89172516387867e-06,5.17579842820687e-06,"Cflar/Tnfsf4/Dab2ip/Sh3rf1/Bcl2a1a/Bcl2a1b/Plscr1/Hyal2/Adora2a/Inhba/Myc/Jak2/Tmbim1/Atf3/Cd44/Bcl2l1/Cth/Bcl2a1d/Csf2/Pcgf2/Fam162a/Tnf/Vegfa",23
"GO:0009070","serine family amino acid biosynthetic process","6/331","15/23174",3.64430929883211e-08,7.09671076362825e-06,5.32974596960764e-06,"Phgdh/Cth/Psph/Shmt2/Shmt1/Psat1",6
"GO:0097191","extrinsic apoptotic signaling pathway","17/331","229/23174",3.70392002277049e-08,7.09671076362825e-06,5.32974596960764e-06,"Cflar/Tnfsf4/Dab2ip/Sh3rf1/Bcl2a1a/Bcl2a1b/Hyal2/Inhba/Jak2/Tmbim1/Atf3/Bcl2l1/Il2/Bcl2a1d/Csf2/Tnf/Vegfa",17
"GO:0046006","regulation of activated T cell proliferation","8/331","38/23174",5.36124918746967e-08,9.78300327923036e-06,7.34719562834189e-06,"Tnfsf4/Slamf1/Il2ra/Lrrc32/Tnfsf9/Pdcd1lg2/Il2/Il23a",8
"GO:0022409","positive regulation of cell-cell adhesion","17/331","242/23174",8.28300470002661e-08,1.44274881865918e-05,1.0835279832475e-05,"Tnfsf4/Slamf1/Il2ra/Adam19/Cd83/Egr3/Myo10/Tnfsf9/Pdcd1lg2/Xcl1/Cd44/Il2/Cd160/Il23a/Nfkbiz/Tnf/Tnfsf14",17
"GO:0001819","positive regulation of cytokine production","23/331","445/23174",1.30450078603075e-07,2.17341174437818e-05,1.63226780274968e-05,"Tnfsf4/Slamf1/Irf8/Sema7a/Hyal2/Adora2b/Ccl4/Irf4/Cd83/Heg1/Mir155/Tnfsf9/Jak2/Xcl1/Il2/Cd160/Crtam/Il23a/Csf2/Ccl3/Cd200/Tnf/Lta",23
"GO:0050868","negative regulation of T cell activation","12/331","119/23174",1.43055093292823e-07,2.22414400731321e-05,1.67036856279374e-05,"Tnfsf4/Il2ra/Lrrc32/Adora2a/Tnfrsf21/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Lag3/Tbx21",12
"GO:0032729","positive regulation of interferon-gamma production","10/331","77/23174",1.4510334076939e-07,2.22414400731321e-05,1.67036856279374e-05,"Tnfsf4/Slamf1/Irf8/Mir155/Tnfsf9/Il2/Cd160/Il23a/Tnf/Lta",10
"GO:0070371","ERK1 and ERK2 cascade","19/331","323/23174",2.34221961715785e-07,3.42242696930186e-05,2.57029868532889e-05,"Cflar/Slamf1/Dab2ip/Spry1/Epha2/Kit/Sema7a/Lif/Ccl4/Myc/Xcl1/Atf3/Cd44/Ccl9/Ccl3/Wnk2/Spry2/Pdgfb/Vegfa",19
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","15/331","203/23174",2.51572373463413e-07,3.42242696930186e-05,2.57029868532889e-05,"Tnfsf4/Slamf1/Il2ra/Cd83/Egr3/Tnfsf9/Pdcd1lg2/Xcl1/Cd44/Il2/Cd160/Il23a/Nfkbiz/Tnf/Tnfsf14",15
"GO:0045580","regulation of T cell differentiation","13/331","150/23174",2.57799509898383e-07,3.42242696930186e-05,2.57029868532889e-05,"Tnfsf4/Il2ra/Rorc/Sh3rf1/Cd83/Egr3/Tnfsf9/Cd44/Il2/Lag3/Il23a/Tbx21/Nfkbiz",13
"GO:0050798","activated T cell proliferation","8/331","46/23174",2.59004128678899e-07,3.42242696930186e-05,2.57029868532889e-05,"Tnfsf4/Slamf1/Il2ra/Lrrc32/Tnfsf9/Pdcd1lg2/Il2/Il23a",8
"GO:0046634","regulation of alpha-beta T cell activation","11/331","104/23174",2.92511866139969e-07,3.71689538755207e-05,2.79144928842087e-05,"Tnfsf4/Sh3rf1/Adora2a/Cd83/Xcl1/Cd44/Il2/Cd160/Il23a/Tbx21/Nfkbiz",11
"GO:0051250","negative regulation of lymphocyte activation","13/331","152/23174",3.00688301185058e-07,3.71689538755207e-05,2.79144928842087e-05,"Tnfsf4/Il2ra/Lrrc32/Adora2a/Tnfrsf21/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Lag3/Axl/Tbx21",13
"GO:0030099","myeloid cell differentiation","21/331","401/23174",3.7441689406431e-07,4.38291335159681e-05,3.29163968334954e-05,"Twist2/Epha2/Kit/Inpp4b/Irf8/Plscr1/Lif/Inhba/Irf4/Myc/Tnfsf9/Jak2/Hax1/Sh2b3/Il23a/Gas2l1/Csf2/Ccl3/Hist1h4i/Tnf/Vegfa",21
"GO:0002695","negative regulation of leukocyte activation","14/331","182/23174",3.88880620966314e-07,4.38291335159681e-05,3.29163968334954e-05,"Tnfsf4/Il2ra/Lrrc32/Adora2a/Tnfrsf21/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Lag3/Axl/Tbx21/Cd200",14
"GO:0045619","regulation of lymphocyte differentiation","14/331","182/23174",3.88880620966314e-07,4.38291335159681e-05,3.29163968334954e-05,"Tnfsf4/Il2ra/Rorc/Sh3rf1/Cd83/Egr3/Tnfsf9/Cd44/Il2/Lag3/Axl/Il23a/Tbx21/Nfkbiz",14
"GO:1903038","negative regulation of leukocyte cell-cell adhesion","12/331","131/23174",4.10558880638449e-07,4.49503323030439e-05,3.37584354786622e-05,"Tnfsf4/Il2ra/Lrrc32/Adora2a/Tnfrsf21/Pdcd1lg2/Xcl1/Cd44/Sdc4/Il2/Lag3/Tbx21",12
"GO:0046631","alpha-beta T cell activation","13/331","157/23174",4.37143873105961e-07,4.65315367150567e-05,3.49459458792894e-05,"Tnfsf4/Rorc/Sh3rf1/Adora2a/Irf4/Cd83/Xcl1/Cd44/Il2/Cd160/Il23a/Tbx21/Nfkbiz",13
