"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0020003","symbiont-containing vacuole","9/65","14/23407",1.09093580906188e-20,1.64731307168344e-18,1.35505711020318e-18,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0065010","extracellular membrane-bounded organelle","9/65","16/23407",6.20708922465126e-20,4.6863523646117e-18,3.85492909741499e-18,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0030430","host cell cytoplasm","9/65","17/23407",1.31616494201178e-19,4.96852265609445e-18,4.08703850414183e-18,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0033655","host cell cytoplasm part","9/65","17/23407",1.31616494201178e-19,4.96852265609445e-18,4.08703850414183e-18,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0033646","host intracellular part","9/65","20/23407",9.03485772355546e-19,2.27377252709479e-17,1.87037405505183e-17,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0043656","intracellular region of host","9/65","20/23407",9.03485772355546e-19,2.27377252709479e-17,1.87037405505183e-17,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0020005","symbiont-containing vacuole membrane","8/65","12/23407",1.10963378864138e-18,2.39363860121212e-17,1.96897424149899e-17,"Gbp3/Gbp2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",8
"GO:0033643","host cell part","9/65","22/23407",2.66419091964434e-18,5.02866036082869e-17,4.13650695418463e-17,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0018995","host","9/65","24/23407",6.97287230360633e-18,1.05290371784456e-16,8.66104138763734e-17,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0043657","host cell","9/65","24/23407",6.97287230360633e-18,1.05290371784456e-16,8.66104138763734e-17,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
"GO:0044215","other organism","9/65","30/23407",7.53184183012393e-17,8.74852397191318e-16,7.19641567574594e-16,"Gbp3/Gbp2/Irgm2/Iigp1/Gbp8/Gbp9/Gbp10/Gbp6/Gbp11",9
