"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","6/899","27/23239",0.000485543418894177,0.000485543418894177,0.713749335225255,"Atf3/Atf6/Creb3l3/Vegfa/Ddit3/Rbpj",6
"GO:0007018","microtubule-based movement","22/899","261/23239",0.000552208533168082,0.000552208533168082,0.713749335225255,"Map2k1/Kpnb1/Klc3/Stau1/Lca5l/Bbs4/Kif2a/Rsph9/Lrrc6/Ulk4/Dnah2/Kif20a/Invs/Borcs5/Ap3b1/Ift74/Ift20/Map4/Kif3c/Dnah7b/Hydin/Syne2",22
"GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","4/899","11/23239",0.000590358799550493,0.000590358799550493,0.713749335225255,"Atf3/Atf6/Creb3l3/Ddit3",4
"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","8/899","51/23239",0.000707282281396843,0.000707282281396843,0.713749335225255,"Atf3/Atf6/Creb3l3/Ino80/Vegfa/Egr1/Ddit3/Rbpj",8
"GO:0044458","motile cilium assembly","6/899","30/23239",0.000882269951290087,0.000882269951290087,0.713749335225255,"Lrrc46/Dnaaf3/Rsph9/Lrrc6/Ulk4/Atmin",6
"GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","5/899","21/23239",0.00103935484192201,0.00103935484192201,0.713749335225255,"Stat3/Bcl2/Braf/Loxl3/Stat6",5
"GO:0002573","myeloid leukocyte differentiation","18/899","209/23239",0.00133052678113741,0.00133052678113741,0.713749335225255,"Ccl3/Sh3pxd2a/Tnfsf11/Ceacam1/Prkca/Vegfa/Junb/Tnfsf9/Clec2d/Gnas/Zbtb7a/Clec2g/Lif/Dhrs7b/Eif2ak1/Cdk6/Rbpj/Ndfip1",18
"GO:0043620","regulation of DNA-templated transcription in response to stress","8/899","56/23239",0.00133147548491333,0.00133147548491333,0.713749335225255,"Atf3/Atf6/Creb3l3/Ino80/Vegfa/Egr1/Ddit3/Rbpj",8
"GO:0048537","mucosal-associated lymphoid tissue development","4/899","14/23239",0.00163189974416437,0.00163189974416437,0.713749335225255,"Tox/Ceacam1/Cacnb4/Rorc",4
"GO:0048541","Peyer's patch development","4/899","14/23239",0.00163189974416437,0.00163189974416437,0.713749335225255,"Tox/Ceacam1/Cacnb4/Rorc",4
"GO:0016032","viral process","21/899","272/23239",0.00218059835047959,0.00218059835047959,0.713749335225255,"Etf1/Lamp3/Tfap4/Ceacam1/Trim30a/Pcbp1/Mir93/Eif3g/Stau1/Snw1/Bcl2/Fbxl2/Rad50/Rad23a/Hdac1/Banf1/Cul1/Eea1/Larp1/Dcaf1/Apobec3",21
"GO:0019079","viral genome replication","11/899","107/23239",0.00288300210101873,0.00288300210101873,0.713749335225255,"Ceacam1/Pcbp1/Mir93/Stau1/Bcl2/Fbxl2/Rad23a/Banf1/Eea1/Larp1/Apobec3",11
"GO:0043368","positive T cell selection","6/899","38/23239",0.00315500462470129,0.00315500462470129,0.713749335225255,"Stat3/Bcl2/Braf/Loxl3/Stat6/H2-DMa",6
"GO:0001974","blood vessel remodeling","7/899","51/23239",0.00332411618353526,0.00332411618353526,0.713749335225255,"Angpt2/Ceacam1/Acvr2b/Vegfa/Lif/Pbrm1/Rbpj",7
"GO:0036037","CD8-positive, alpha-beta T cell activation","5/899","27/23239",0.00340312711665649,0.00340312711665649,0.713749335225255,"Tnfsf8/Ceacam1/Bcl2/Vsir/Clec4a2",5
"GO:0046697","decidualization","4/899","17/23239",0.00353723744950451,0.00353723744950451,0.713749335225255,"Junb/Lif/Il11ra1/Ash1l",4
"GO:0050792","regulation of viral process","15/899","176/23239",0.00357010789253157,0.00357010789253157,0.713749335225255,"Lamp3/Tfap4/Ceacam1/Trim30a/Mir93/Stau1/Snw1/Bcl2/Fbxl2/Rad50/Rad23a/Hdac1/Banf1/Larp1/Apobec3",15
"GO:0010506","regulation of autophagy","18/899","230/23239",0.00377711300369925,0.00377711300369925,0.713749335225255,"Hk2/Map2k1/Lamp3/Htr2b/Tmem150c/Tmem150b/Hdac6/Bcl2/Fbxl2/Dram1/Usp30/Bok/Smcr8/Vdac1/Larp1/Ddit3/Ift20/Wdr41",18
"GO:0002360","T cell lineage commitment","5/899","28/23239",0.00401295629952535,0.00401295629952535,0.713749335225255,"Stat3/Bcl2/Braf/Loxl3/Stat6",5
"GO:1902105","regulation of leukocyte differentiation","21/899","287/23239",0.00409617506962405,0.00409617506962405,0.713749335225255,"Ccl3/Tox/Tnfsf11/Ceacam1/Prkca/Braf/Loxl3/Tnfsf9/Rorc/Clec2d/Ap3b1/Gnas/Mir150/Zbtb7a/Clec2g/Lif/Vsir/Il2ra/Cdk6/H2-DMa/Ndfip1",21
"GO:0034109","homotypic cell-cell adhesion","8/899","67/23239",0.00421552175377098,0.00421552175377098,0.713749335225255,"Map2k1/Tnfsf11/Ceacam1/Prkca/Pear1/Comp/Gnas/Abat",8
"GO:0060947","cardiac vascular smooth muscle cell differentiation","4/899","18/23239",0.00441018168614003,0.00441018168614003,0.713749335225255,"Vegfa/Pdgfb/Gper1/Pbrm1",4
"GO:0044403","symbiont process","24/899","347/23239",0.00458941914186236,0.00458941914186236,0.713749335225255,"Etf1/Lamp3/Tfap4/Ceacam1/Trim30a/Pcbp1/Mir93/Lta/Eif3g/Stau1/Snw1/Bcl2/Fbxl2/Rad50/Rad23a/Hdac1/Banf1/Cul1/Gbp2b/Gbp7/Eea1/Larp1/Dcaf1/Apobec3",24
"GO:0034110","regulation of homotypic cell-cell adhesion","5/899","29/23239",0.00469702064486873,0.00469702064486873,0.713749335225255,"Map2k1/Tnfsf11/Ceacam1/Prkca/Abat",5
"GO:1900117","regulation of execution phase of apoptosis","5/899","29/23239",0.00469702064486873,0.00469702064486873,0.713749335225255,"Rffl/Cxcr3/Endog/Bok/Rnf34",5
"GO:0070372","regulation of ERK1 and ERK2 cascade","23/899","330/23239",0.0049715977291875,0.0049715977291875,0.713749335225255,"Atf3/Map2k1/Ccl3/St5/Htr2b/Tnfsf11/Angpt1/Ezr/Prkca/Braf/Vegfa/Fgfr2/Ntrk3/Pdgfb/Ccl17/Sema7a/Gper1/Pde8a/Lif/Dmd/Ptprr/Styx/Dstyk",23
"GO:0050918","positive chemotaxis","6/899","42/23239",0.00526123396328961,0.00526123396328961,0.713749335225255,"Angpt2/Angpt1/Prkca/Ptprj/Vegfa/Ntrk3",6
"GO:0003158","endothelium development","11/899","116/23239",0.00535592943668771,0.00535592943668771,0.713749335225255,"Ceacam1/Col18a1/Ezr/Acvr2b/Vegfa/Pdgfb/Id1/Pbrm1/Dmd/Bmp6/Rbpj",11
"GO:0002363","alpha-beta T cell lineage commitment","4/899","19/23239",0.00541734001836301,0.00541734001836301,0.713749335225255,"Stat3/Bcl2/Loxl3/Stat6",4
"GO:0000492","box C/D snoRNP assembly","3/899","10/23239",0.00564589110238714,0.00564589110238714,0.713749335225255,"Snu13/Znhit3/Ruvbl2",3
"GO:0072203","cell proliferation involved in metanephros development","3/899","10/23239",0.00564589110238714,0.00564589110238714,0.713749335225255,"Ptch1/Pdgfb/Egr1",3
"GO:0070527","platelet aggregation","6/899","43/23239",0.00591846203682174,0.00591846203682174,0.713749335225255,"Ceacam1/Prkca/Pear1/Comp/Gnas/Abat",6
"GO:0018205","peptidyl-lysine modification","23/899","337/23239",0.00636778032657301,0.00636778032657301,0.713749335225255,"Piwil2/Bcor/Uba2/Hdac6/Snw1/Epc1/Eef1akmt3/Ndufab1/Senp5/Hdac1/Gfi1/Ruvbl2/Loxl3/Egr1/Kmt5a/Loxl2/Lif/Rif1/Naa60/Tada1/Pwp1/Arid5a/Ash1l",23
"GO:0034620","cellular response to unfolded protein","8/899","72/23239",0.00653838950864828,0.00653838950864828,0.713749335225255,"Atf3/Hspa9/Atf6/Creb3l3/Hspa1l/Bok/Yod1/Ddit3",8
"GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity","4/899","20/23239",0.00656724146531252,0.00656724146531252,0.713749335225255,"Ccnd2/Pdgfb/Mnat1/Ccnd3",4
"GO:0006986","response to unfolded protein","10/899","103/23239",0.00657756613538436,0.00657756613538436,0.713749335225255,"Atf3/Hspa9/Atf6/Creb3l3/Manf/Hspa1l/Comp/Bok/Yod1/Ddit3",10
"GO:0045446","endothelial cell differentiation","10/899","104/23239",0.0070323027933708,0.0070323027933708,0.713749335225255,"Ceacam1/Col18a1/Ezr/Acvr2b/Vegfa/Id1/Pbrm1/Dmd/Bmp6/Rbpj",10
"GO:0010543","regulation of platelet activation","5/899","32/23239",0.00724076513441089,0.00724076513441089,0.713749335225255,"Ceacam1/Prkca/Ptprj/Pdgfb/Abat",5
"GO:0070528","protein kinase C signaling","5/899","32/23239",0.00724076513441089,0.00724076513441089,0.713749335225255,"Htr2b/Ulk4/Vegfa/Pdgfb/Flot1",5
"GO:0016188","synaptic vesicle maturation","3/899","11/23239",0.00754171571595089,0.00754171571595089,0.713749335225255,"Unc13b/Unc13a/Zdhhc15",3
"GO:0097084","vascular smooth muscle cell development","3/899","11/23239",0.00754171571595089,0.00754171571595089,0.713749335225255,"Vegfa/Comp/Pbrm1",3
"GO:0044782","cilium organization","22/899","323/23239",0.0076827074197895,0.0076827074197895,0.713749335225255,"Rilpl2/Cfap157/Lrrc46/Dnaaf3/Klc3/Lca5l/Bbs4/Hyls1/Rsph9/Lrrc6/Ulk4/Atmin/Lrguk/Celsr3/Ift74/Pibf1/Ift20/Avil/Map4/Dnah7b/Hydin/Syne2",22
"GO:0002761","regulation of myeloid leukocyte differentiation","11/899","122/23239",0.00777292487380121,0.00777292487380121,0.713749335225255,"Ccl3/Tnfsf11/Ceacam1/Prkca/Clec2d/Gnas/Zbtb7a/Clec2g/Lif/Cdk6/Ndfip1",11
"GO:0045069","regulation of viral genome replication","9/899","90/23239",0.0080316680494103,0.0080316680494103,0.713749335225255,"Ceacam1/Mir93/Stau1/Bcl2/Fbxl2/Rad23a/Banf1/Larp1/Apobec3",9
"GO:1903900","regulation of viral life cycle","12/899","140/23239",0.00825881567438538,0.00825881567438538,0.713749335225255,"Lamp3/Ceacam1/Trim30a/Mir93/Stau1/Bcl2/Fbxl2/Rad50/Rad23a/Banf1/Larp1/Apobec3",12
"GO:0043903","regulation of symbiosis, encompassing mutualism through parasitism","16/899","212/23239",0.00853889943752186,0.00853889943752186,0.713749335225255,"Lamp3/Tfap4/Ceacam1/Trim30a/Mir93/Lta/Stau1/Snw1/Bcl2/Fbxl2/Rad50/Rad23a/Hdac1/Banf1/Larp1/Apobec3",16
