Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
337-10_S5_L001_R1_001	31.4937851109	31.595991084	31.6260129902	31.653491694	31.6855309442	35.2900119812	35.2683709084	35.2744944988	35.2709330285	35.188735445	35.2877695435	35.3233568297	35.2833384055	35.2604109262	35.2611547499	35.2449905	35.2303232192	35.211448249	35.1910913891	35.1882663399	35.1755338778	35.1570046362	35.1113470802	35.0972802321	35.0866416075	35.046837036	35.0047782375	34.9899135541	34.9874923575	34.9820097769	34.9791592298	34.9639501888	34.9311232477	34.9192977406	34.9050343124	34.9035809364	34.8733100837	34.8567044199	34.8232934964	34.350320642
337-10_S5_L001_R2_001	31.4909756893	31.317538939	31.3469617834	31.3515376833	31.3505854904	34.9545721986	34.999669625	34.9339938092	34.9477195897	34.8695676611	34.946980427	34.9670343288	34.921923194	34.8947296271	34.8940472176	34.8915007252	34.8678505334	34.8347795809	34.8272209839	34.7972766678	34.7653273455	34.755255979	34.7305332335	34.7063552642	34.6869431947	34.6885668303	34.6813048854	34.6928496423	34.6826856063	34.6670085569	34.6511105262	34.6282803774	34.6427842528	34.6290675199	34.604139421	34.6070467213	34.5670672293	34.5701859148	34.5581481999	34.0771860272
337-10_S5_L002_R1_001	31.4514315902	31.5965099679	31.6289487698	31.6559118952	31.6846238606	35.3093356447	35.2877331928	35.2925307477	35.2822821598	35.201674343	35.2932859158	35.3299274291	35.299832594	35.2704147476	35.2721652872	35.2546511101	35.241721194	35.2194658305	35.2048204989	35.2001376638	35.1905867424	35.1635839608	35.1342100194	35.1212234516	35.1063668089	35.0757544599	35.0332594028	35.0241041939	35.0058606253	35.0059019811	34.9983545494	34.9843083102	34.959297688	34.9553051547	34.9390293853	34.9419613975	34.908486718	34.8873029227	34.866068424	34.4194856586
337-10_S5_L002_R2_001	31.460923877	31.2991944119	31.3212452625	31.3202447923	31.3294354085	34.9158378513	34.9591461446	34.9020077386	34.9196692103	34.8373097209	34.9212761377	34.9422248282	34.8937068384	34.8613501816	34.8650846661	34.8579946974	34.8352515622	34.8041656044	34.7983058289	34.772502082	34.7352453305	34.7315034813	34.6983460517	34.6808344239	34.6679356663	34.6766778837	34.6624291145	34.6729632273	34.6651186571	34.6491550389	34.6325351099	34.6138094348	34.626575344	34.610964383	34.587409428	34.5900672456	34.5632338528	34.5594319527	34.5456205351	34.0674258003
337-10_S5_L003_R1_001	31.4863557278	31.5962586091	31.6210959331	31.6461402757	31.6745528302	35.2547136283	35.2468752872	35.2594546001	35.2487692757	35.1627220847	35.2658972702	35.307442551	35.2580875681	35.2408581099	35.2410438539	35.2311947865	35.2166183851	35.1900774533	35.1751033797	35.1710865641	35.1559523852	35.1341715178	35.0931300096	35.0753474108	35.0673227802	35.0291443476	34.9864816028	34.9687382802	34.9594559911	34.9621120481	34.9507680281	34.9392996334	34.9094327663	34.9046639739	34.8806323587	34.88098039	34.8562347106	34.8247646084	34.796003477	34.3252191492
337-10_S5_L003_R2_001	31.4769005141	31.3089353215	31.3296036344	31.325822749	31.3293630673	34.9111677404	34.9728377397	34.9023442199	34.911359485	34.8284219372	34.914372574	34.9367777703	34.9007775335	34.8723996185	34.8722106015	34.8626809265	34.8402498188	34.8140724652	34.8123061246	34.7740401387	34.7407379627	34.737860704	34.7125899774	34.6806531969	34.6674896498	34.677671747	34.6674250076	34.6670396093	34.6608064125	34.6426580535	34.6196825333	34.5998941178	34.616455334	34.6115354371	34.5870335978	34.5771408902	34.536937821	34.5388931787	34.5190387572	34.0370236015
337-10_S5_L004_R1_001	31.434838124	31.5880150075	31.617345643	31.6451258553	31.6679473455	35.2563456887	35.2513231239	35.2669225598	35.2524168485	35.15775283	35.2627870712	35.3077179826	35.2574780548	35.2422451539	35.243891341	35.223159296	35.1959945487	35.186850496	35.1750701359	35.1549650364	35.1541084815	35.1247772859	35.0936926589	35.0795758835	35.0657486399	35.0270673033	34.9866983378	34.9625204723	34.951742833	34.9534534228	34.9431845642	34.9297526967	34.8982172513	34.8874524926	34.8628996918	34.8699083775	34.8284756487	34.8148262123	34.7882018871	34.317886037
337-10_S5_L004_R2_001	31.398944021	31.2520937153	31.2915646842	31.2942082719	31.3066164177	34.8759062219	34.9359728703	34.8615262358	34.874827618	34.7918605162	34.8718424163	34.9012816962	34.8642829482	34.8225668478	34.8281592358	34.8169234978	34.7909095975	34.7721155114	34.7667658934	34.7313223287	34.6884534214	34.6959896485	34.6701723162	34.6540388986	34.637167651	34.6354940227	34.6301203237	34.6245508967	34.6213470061	34.6042895508	34.5774386964	34.5552032701	34.5663317637	34.5580319454	34.536384543	34.5319304015	34.5007819319	34.4993488335	34.4727085476	33.9950415579
337-11_S22_L001_R1_001	31.4372672644	31.5145101344	31.5460507483	31.5848178328	31.6223497854	35.2016587159	35.1773045673	35.1866193239	35.1817709565	35.078338131	35.1997479359	35.2384779783	35.1892475355	35.1661486698	35.1636564768	35.1398327712	35.1293978613	35.1043624342	35.0892308814	35.0862858857	35.0648450247	35.0437668801	34.9951397791	34.9752899508	34.9727026337	34.9274093224	34.8855028451	34.8663817091	34.8630150261	34.8618101204	34.8583607593	34.8414870421	34.8034243502	34.7934579489	34.7716395548	34.7750975096	34.7414813524	34.7253265484	34.6843846476	34.1767480467
337-11_S22_L001_R2_001	31.1895367603	30.8679819282	30.8540994352	30.8320039662	30.8313099452	34.1050232654	34.3505653218	34.1987525403	34.2610899625	33.9910921139	34.2427745665	34.3122486693	34.1919987269	34.1355524816	34.1601511081	34.1515374845	34.1038882952	34.0675108711	34.0743126911	34.0325517152	33.9791755197	33.9696906658	33.9414299083	33.9086636452	33.8809125871	33.8934331159	33.8731364116	33.8670016459	33.8722053211	33.8419834063	33.8215394226	33.7666610955	33.7996676878	33.7811335952	33.7697424062	33.7487098975	33.7266488035	33.7325607239	33.7202639295	32.9274087297
